cohortName,stageName,g_lp_val,init_val,round_avgs,best_val,worst_val,mean_val
g1-m5wp46,First negotiation game-negotiation1,75.0000,58.0000,"[58.0000, 62.2000, 67.8000, 69.4000, 72.2000, 75.0000, 75.0000, 75.0000, 75.0000, 75.0000]",75.0000,75.0000,75.0000
g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,68.2500,56.0000,"[56.0000, 60.6000, 63.3000, 63.3000, 65.8000, 65.8000, 65.8000, 67.0000, 67.0000, 67.6500]",68.2500,67.5000,67.6500
g2-m5wp6p,First negotiation game-negotiation1,75.0000,59.0000,"[59.0000, 68.2667, 72.1333, 73.9333, 74.6000, 74.7333, 74.7333, 75.0000, 75.0000, 75.0000]",75.0000,75.0000,75.0000
g2-m5wp6p,Second negotiation game-negotiation2_alternate_profile,69.0000,44.0000,"[44.0000, 52.8000, 58.4000, 61.2000, 61.2000, 61.2000, 61.2000, 61.2000, 64.0000, 64.0000]",64.0000,64.0000,64.0000
g3-m5wp6q,First negotiation game-negotiation1,70.1111,56.0000,"[56.0000, 65.7333, 67.3333, 67.3333, 67.4833, 67.4833, 67.4833, 68.8833, 68.8833, 68.8833]",69.4167,68.7500,68.8833
g3-m5wp6q,Second negotiation game-negotiation2_alternate_profile,60.0000,40.0000,"[40.0000, 47.4000, 50.6000, 52.2000, 55.2000, 55.2000, 55.2000, 58.2000, 58.2000, 58.2000]",60.0000,57.0000,58.2000
g5-m5wp6r,First negotiation game-negotiation1,68.6667,59.0000,"[59.0000, 62.4444, 65.8444, 67.4444, 67.6667, 67.6667, 67.6667, 68.1111, 68.1111, 68.1111]",68.1111,68.1111,68.1111
g5-m5wp6r,Second negotiation game-negotiation2_alternate_profile,66.0000,49.0000,"[49.0000, 56.2000, 58.8000, 61.1667, 63.6333, 64.4333, 64.6333, 64.6333, 65.4333, 65.4333]",65.8333,65.3333,65.4333
g6-m5wp77,First negotiation game-negotiation1,69.0000,57.0000,"[57.0000, 60.0800, 60.6400, 65.5733, 65.5733, 68.6400, 69.0000, 69.0000, 69.0000, 69.0000]",69.0000,69.0000,69.0000
g6-m5wp77,Second negotiation game-negotiation2_alternate_profile,63.0000,54.0000,"[54.0000, 62.0000, 62.1600, 62.2400, 62.3200, 62.3200, 62.3200, 62.3200, 62.4000, 62.4000]",62.4000,62.4000,62.4000
g7-m5wp78,First negotiation game-negotiation1,74.4444,55.0000,"[55.0000, 67.6000, 68.2444, 70.3778, 70.3778, 70.3778, 70.3778, 70.3778, 70.3778, 70.3778]",71.0000,70.2222,70.3778
