tag,n_player_game_rows,n_clusters,max_cluster_mean_contribution,min_cluster_mean_contribution,mean_contribution_gap,top_cluster_id,bottom_cluster_id
RESPONSE_TO_END_GAME,1816,7,18.756419730698962,6.075995105683642,12.68042462501532,2,5
RESPONSE_TO_PUNISHER,865,7,18.762563330166394,9.888905653707655,8.87365767645874,2,5
RESPONSE_TO_OTHERS_OUTCOME,1772,7,17.95859463787002,9.404378144183406,8.554216493686615,2,6
RESPONSE_TO_REWARDER,863,7,17.383669161833964,12.745716809954429,4.637952351879536,3,6
COMMUNICATION,1759,7,18.633168786307635,14.564655123459103,4.068513662848533,4,1
REWARD,1678,7,17.455453036051267,14.388480703370094,3.066972332681173,3,4
PUNISHMENT,1696,7,17.677437302128485,14.634707740058847,3.0427295620696384,2,1
