cluster_id,cluster_title,n_player_game_rows,mean_contribution,median_contribution,mean_frac_zero,mean_frac_full,tag
3,Punishment / Punish / Norm,184,17.545826023810015,19.333333333333332,0.09126864651454424,0.8350215463095152,PUNISHMENT
4,Punishment / Punish / Low,265,15.004007430168876,17.1,0.12845779134855373,0.6205089045115939,PUNISHMENT
6,Punishment / Punish / Norm,274,14.81852853358646,16.803405572755416,0.15097438531063673,0.6410329272247994,PUNISHMENT
0,Punishment / Non / Use,229,14.811500306982936,17.77777777777778,0.18789484000677495,0.6732810026781587,PUNISHMENT
1,Punishment / Non / Low,274,14.634707740058847,16.3125,0.1562214069386953,0.6063597583481937,PUNISHMENT
3,Reward / Punishment / Rewards,128,17.455453036051267,19.183333333333334,0.0649542619536373,0.8042575823640554,REWARD
1,Reward / Rewards / Use,195,16.579206826931557,19.047619047619047,0.11054074841333533,0.7560086351119155,REWARD
5,Reward / Rewards / Use,340,16.015184285504404,19.13961038961039,0.12755405709128947,0.7243005150070956,REWARD
0,Reward / Rewards / Rewarding,307,15.470911722015213,17.77777777777778,0.1631868248763426,0.7000220907882534,REWARD
6,Reward / Rewards / Rewarding,195,14.647265518915807,17.142857142857142,0.205908073207251,0.6809426425415891,REWARD
2,Reward / Rewards / Rewarding,165,14.451710139483097,15.380952380952381,0.12850834302446346,0.5869674415065795,REWARD
4,Reward / Rewards / Rewarding,348,14.388480703370094,16.0,0.15686933469897701,0.6177929507977626,REWARD
2,Punished / Punishment / Unknown,134,18.762563330166394,20.0,0.01324600530318763,0.8752282342575313,RESPONSE_TO_PUNISHER
0,Punished / Unknown / Response,102,18.651849925677176,20.0,0.025798866347699904,0.8698779831281692,RESPONSE_TO_PUNISHER
1,Punished / Unknown / Punishment,72,18.06331393015421,20.0,0.02378472222222222,0.7928288648080315,RESPONSE_TO_PUNISHER
4,Punishment / Punished / Punishers,192,17.95983932028292,19.333333333333332,0.0517925626777049,0.8323473343374985,RESPONSE_TO_PUNISHER
6,Punishment / Punished / Punishers,140,15.838289323933164,17.65359477124183,0.08456995028166585,0.6451599492927715,RESPONSE_TO_PUNISHER
3,Punishment / Punished / Punishers,137,10.677180081201154,11.428571428571429,0.35881443316855344,0.45119224228788585,RESPONSE_TO_PUNISHER
5,Punishment / Punished / Punishers,88,9.888905653707655,9.350678733031675,0.30691714312657514,0.3385173734610163,RESPONSE_TO_PUNISHER
3,Reward / Rewards / Rewarded,150,17.383669161833964,19.92857142857143,0.0826643410028165,0.8182255461978549,RESPONSE_TO_REWARDER
5,Reward / Rewarded / Rewards,115,16.967108005155513,18.823529411764707,0.0913557107587062,0.7681369292147522,RESPONSE_TO_REWARDER
1,Rewarded / Unknown / Rewards,109,16.63741756482477,19.571428571428573,0.055877998187144194,0.7023374958688787,RESPONSE_TO_REWARDER
2,Reward / Rewarded / Rewards,133,15.491158458756114,17.5,0.14419169609354696,0.7060185830862148,RESPONSE_TO_REWARDER
4,Reward / Rewards / Rewarded,147,14.037481441096721,17.0,0.21884386789429638,0.6334643430653751,RESPONSE_TO_REWARDER
0,Rewarded / Unknown / Rewards,60,13.49870382629735,13.75,0.0981817926225821,0.4187119762809907,RESPONSE_TO_REWARDER
6,Reward / Rewards / Rewarded,149,12.745716809954429,13.5,0.21264265107328895,0.5309586083945319,RESPONSE_TO_REWARDER
