persona_pid,n_requests,top1_unique_avatars,top1_effective_n,probability_unique_avatars,probability_effective_n,top_probability_avatar,top_probability_share
1199,5,2,1.9601317042077895,4,3.064316680975484,SLOTH,0.42399999999999993
1667,5,3,2.586409289858933,4,3.4192579846495796,SLOTH,0.49000000000000005
1898,5,1,1.0,4,2.6343018203816007,SLOTH,0.67
327,5,3,2.586409289858933,4,3.3948150274302433,SLOTH,0.504
333,5,4,3.7892914162759954,4,3.6966047003049924,SLOTH,0.43000000000000005
448,5,4,3.7892914162759954,5,4.10334009178617,GORILLA,0.3399999999999999
750,5,3,2.586409289858933,4,3.4074420027906083,SLOTH,0.51
836,5,4,3.7892914162759954,4,3.725520267427679,SLOTH,0.42000000000000004
