avatar,top1_count,top1_share,probability_mass,probability_share
CHICKEN,5,0.125,5.78,0.14450000000000005
DOG,0,0.0,0.15,0.0037500000000000007
DUCK,7,0.175,8.249999999999998,0.20625
GORILLA,7,0.175,7.129999999999999,0.17825000000000002
SLOTH,21,0.525,18.69,0.4672500000000001
