experiment,cohort,stage,round,turn,participant,type,start,end,duration(ms),duration(s),turn duration(ms),turn duration(s),round duration(ms),round duration(s),game duration(ms),game duration(s)
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,0,bear-yellow-1294,proposal,1736873562036,1736873596189,34153,34.153,46168.0,46.168,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,0,goose-green-2832,response,1736873596189,1736873608204.0,12015.0,12.015,46168.0,46.168,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,0,ram-blue-9899,response,1736873596189,1736873603851.0,7662.0,7.662,46168.0,46.168,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,1,goose-green-2832,proposal,1736873608204.0,1736873632330,24126.0,24.126,38670.0,38.67,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,1,ram-blue-9899,response,1736873632330,1736873639906.0,7576.0,7.576,38670.0,38.67,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,1,bear-yellow-1294,response,1736873632330,1736873647205.0,14875.0,14.875,38670.0,38.67,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,2,ram-blue-9899,proposal,1736873647205.0,1736873674824,27619.0,27.619,46266.0,46.266,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,2,goose-green-2832,response,1736873674824,1736873683636.0,8812.0,8.812,46266.0,46.266,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,0,2,bear-yellow-1294,response,1736873674824,1736873693727.0,18903.0,18.903,46266.0,46.266,131104.0,131.104,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,0,bear-yellow-1294,proposal,1736873693949,1736873709586,15637,15.637,24779.0,24.779,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,0,goose-green-2832,response,1736873709586,1736873718728.0,9142.0,9.142,24779.0,24.779,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,0,ram-blue-9899,response,1736873709586,1736873712993.0,3407.0,3.407,24779.0,24.779,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,1,goose-green-2832,proposal,1736873718728.0,1736873740070,21342.0,21.342,25781.0,25.781,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,1,bear-yellow-1294,response,1736873740070,1736873744752.0,4682.0,4.682,25781.0,25.781,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,1,ram-blue-9899,response,1736873740070,1736873743616.0,3546.0,3.546,25781.0,25.781,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,2,ram-blue-9899,proposal,1736873744752.0,1736873759249,14497.0,14.497,24960.0,24.96,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,2,bear-yellow-1294,response,1736873759249,1736873764062.0,4813.0,4.813,24960.0,24.96,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,1,2,goose-green-2832,response,1736873759249,1736873769964.0,10715.0,10.715,24960.0,24.96,75520.0,75.52,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,0,bear-yellow-1294,proposal,1736873770158,1736873787469,17311,17.311,26346.0,26.346,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,0,ram-blue-9899,response,1736873787469,1736873790071.0,2602.0,2.602,26346.0,26.346,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,0,goose-green-2832,response,1736873787469,1736873796504.0,9035.0,9.035,26346.0,26.346,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,1,goose-green-2832,proposal,1736873796504.0,1736873811126,14622.0,14.622,22421.0,22.421,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,1,ram-blue-9899,response,1736873811126,1736873819152.0,8026.0,8.026,22421.0,22.421,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,1,bear-yellow-1294,response,1736873811126,1736873816375.0,5249.0,5.249,22421.0,22.421,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,2,ram-blue-9899,proposal,1736873819152.0,1736873829457,10305.0,10.305,16115.0,16.115,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,2,goose-green-2832,response,1736873829457,1736873835462.0,6005.0,6.005,16115.0,16.115,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,First negotiation game-negotiation1,2,2,bear-yellow-1294,response,1736873829457,1736873833970.0,4513.0,4.513,16115.0,16.115,64882.0,64.882,271506.0,271.506
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,0,bear-yellow-1294,proposal,1736873874431,1736873890416,15985,15.985,24987.0,24.987,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,0,ram-blue-9899,response,1736873890416,1736873892373.0,1957.0,1.957,24987.0,24.987,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,0,goose-green-2832,response,1736873890416,1736873899418.0,9002.0,9.002,24987.0,24.987,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,1,goose-green-2832,proposal,1736873899418.0,1736873916874,17456.0,17.456,24183.0,24.183,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,1,bear-yellow-1294,response,1736873916874,1736873923795.0,6921.0,6.921,24183.0,24.183,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,1,ram-blue-9899,response,1736873916874,1736873918980.0,2106.0,2.106,24183.0,24.183,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,2,ram-blue-9899,proposal,1736873923795.0,1736873937782,13987.0,13.987,23747.0,23.747,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,2,bear-yellow-1294,response,1736873937782,1736873944413.0,6631.0,6.631,23747.0,23.747,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,0,2,goose-green-2832,response,1736873937782,1736873947693.0,9911.0,9.911,23747.0,23.747,72917.0,72.917,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,0,bear-yellow-1294,proposal,1736873947893,1736873963818,15925,15.925,23605.0,23.605,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,0,ram-blue-9899,response,1736873963818,1736873968764.0,4946.0,4.946,23605.0,23.605,80274.0,80.274,227601.0,227.601
🔵 3p1 (N= 54),g1-m5wp46,Second negotiation game-negotiation2_alternate_profile,1,0,goose-green-2832,response,1736873963818,1736873971498.0,7680.0,7.68,23605.0,23.605,80274.0,80.274,227601.0,227.601
