metric,num_treatments,mean_sd_ratio,median_sd_ratio,mean_abs_log_sd_ratio,mean_iqr_ratio,median_iqr_ratio,mean_abs_log_iqr_ratio
final_round_normalized_efficiency,40,0.45004202539166477,0.3521410213069471,1.252915912333233,0.5237443272786727,0.26818174827681296,1.256668310618376
final_total_contribution_rate,40,0.8601007064460454,0.6877521837548054,0.748082801851332,0.7562223875725703,0.3576446536984266,0.9791883167625092
mean_round_normalized_efficiency,40,0.5872915090220319,0.5112528987522562,0.8013603766621383,0.8182876137285945,0.5320873273552984,0.7741109006762186
mean_total_contribution_rate,40,0.8989492836921565,0.7240645183253318,0.5227154618534292,0.9999998837669523,0.7424723206681497,0.6077801564500815
