metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.5789580170409149,1.9973699181700397,1.4312480240074223,0.11938328125378483,0.0,0.4940047961630695,0.14148681055155876
final_total_contribution_rate,40,0.5459130907648023,3.761229044930386,2.8417816067562995,0.08386230409611706,0.0,0.2541966426858513,0.09112709832134293
mean_round_normalized_efficiency,40,0.33498082994738676,1.9755723544346813,1.3462050173984954,0.16476636872320324,0.09090909090909091,0.592326139088729,0.24940047961630696
mean_total_contribution_rate,40,0.2928669661408874,2.6701972949815005,2.0382097657367493,0.13697708499866773,0.0,0.486810551558753,0.17985611510791366
mean_within_round_contribution_rate_var,40,0.03901517144454445,1.1889815089341509,0.7975625781216863,0.3260894314851149,0.3,0.7529976019184652,0.4244604316546763
messages_per_round,26,2.0537186704641255,1.4561497939596786,0.7271832567247505,0.605155344054261,0.6666666666666666,0.7870036101083032,0.41155234657039713
punish_actor_round_rate,20,0.08882056454479026,0.9208668518680673,0.5915380576345352,0.4803919044817103,0.5,0.7864077669902912,0.587378640776699
reward_actor_round_rate,22,0.09999145352653249,0.7710212927668914,0.5606628022701289,0.42905248133509005,0.4,0.8782608695652174,0.5260869565217391
round_normalized_efficiency_decay_slope,40,0.48167244519743946,1.644814326267237,1.1495302572472479,0.20389143230869852,0.1,0.5851318944844125,0.2158273381294964
round_normalized_efficiency_rmse_to_treatment_mean,40,0.2109356202947001,2.2791093158193316,0.8876413874229683,0.7023399462248383,0.8181818181818182,0.6666666666666666,0.290167865707434
rounds_with_chat_rate,26,0.4228715156544091,1.6676664483451256,1.4433756729740643,0.8556932137257046,0.9166666666666666,0.7003610108303249,0.2490974729241877
total_contribution_rate_decay_slope,40,0.4209462869979534,2.7855673587222594,2.1452236744333177,0.18486846886127462,0.0,0.407673860911271,0.16786570743405277
total_contribution_rate_rmse_to_treatment_mean,40,0.20812281556144266,3.654029735218216,2.284806250316422,0.8269148317709468,1.0,0.4844124700239808,0.1774580335731415
total_contribution_rate_sd,40,0.08129507388336148,2.057511227175337,1.6115575226933267,0.7613018675968316,0.9090909090909091,0.5203836930455635,0.24700239808153476
