custom_id,record_id,unit_id,treatment_name,variant,model,num_days,num_trials_per_day,num_ratings
longitudinal_trust_game_ht863__5d59cb467ca41f0001e97e1f,5d59cb467ca41f0001e97e1f,5d59cb467ca41f0001e97e1f,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5da5ac51a39c100014614ed5,5da5ac51a39c100014614ed5,5da5ac51a39c100014614ed5,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5de21543762dc22548c937b3,5de21543762dc22548c937b3,5de21543762dc22548c937b3,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5e12245e13ec5088f463b03b,5e12245e13ec5088f463b03b,5e12245e13ec5088f463b03b,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5e377d1ac0b28970cf33db0e,5e377d1ac0b28970cf33db0e,5e377d1ac0b28970cf33db0e,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5e54ed0d7243ea4e2ce6c650,5e54ed0d7243ea4e2ce6c650,5e54ed0d7243ea4e2ce6c650,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5e578224e5cbf4136e8ddcfa,5e578224e5cbf4136e8ddcfa,5e578224e5cbf4136e8ddcfa,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5ec2da3e7e31c80f47d04ea8,5ec2da3e7e31c80f47d04ea8,5ec2da3e7e31c80f47d04ea8,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5eeba8ce2af5113688a7987c,5eeba8ce2af5113688a7987c,5eeba8ce2af5113688a7987c,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5ef6a9ca5820823ab34f2bd3,5ef6a9ca5820823ab34f2bd3,5ef6a9ca5820823ab34f2bd3,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5eff6ae361fa1102b360e5ea,5eff6ae361fa1102b360e5ea,5eff6ae361fa1102b360e5ea,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f05cf1309b0de08fd3bd4cf,5f05cf1309b0de08fd3bd4cf,5f05cf1309b0de08fd3bd4cf,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f08cdf2f48b131393a5ba40,5f08cdf2f48b131393a5ba40,5f08cdf2f48b131393a5ba40,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f16c3aa4862ae8532b4216e,5f16c3aa4862ae8532b4216e,5f16c3aa4862ae8532b4216e,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f23fc20be6a4e1feed8aa5b,5f23fc20be6a4e1feed8aa5b,5f23fc20be6a4e1feed8aa5b,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f305c9cf7fabe4adaf0de5d,5f305c9cf7fabe4adaf0de5d,5f305c9cf7fabe4adaf0de5d,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f44088c22717b701b526c9f,5f44088c22717b701b526c9f,5f44088c22717b701b526c9f,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f5d4b6876a9515a25325a29,5f5d4b6876a9515a25325a29,5f5d4b6876a9515a25325a29,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f74a6b6f0966108a63551c2,5f74a6b6f0966108a63551c2,5f74a6b6f0966108a63551c2,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f972e95ea9cc80c17f6f625,5f972e95ea9cc80c17f6f625,5f972e95ea9cc80c17f6f625,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__5f98391806e2bc0b6d557b1b,5f98391806e2bc0b6d557b1b,5f98391806e2bc0b6d557b1b,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__60342bd9c4c71123493ec1a7,60342bd9c4c71123493ec1a7,60342bd9c4c71123493ec1a7,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__60455b1578f6f36a3e8ea81c,60455b1578f6f36a3e8ea81c,60455b1578f6f36a3e8ea81c,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6047c79eb8267d07b5a2ffb2,6047c79eb8267d07b5a2ffb2,6047c79eb8267d07b5a2ffb2,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6048b10a94745f1bdf5f0b5f,6048b10a94745f1bdf5f0b5f,6048b10a94745f1bdf5f0b5f,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__605ba7fb97207afeb65c0d6f,605ba7fb97207afeb65c0d6f,605ba7fb97207afeb65c0d6f,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__60992e2a5f3f48e17e154c16,60992e2a5f3f48e17e154c16,60992e2a5f3f48e17e154c16,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__60fd2ac057cabc293d69bc57,60fd2ac057cabc293d69bc57,60fd2ac057cabc293d69bc57,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61065a951ba33316abb42a29,61065a951ba33316abb42a29,61065a951ba33316abb42a29,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__611154eac8a453ad85dd0ec5,611154eac8a453ad85dd0ec5,611154eac8a453ad85dd0ec5,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__611fa1092bc77bd09a76f5ac,611fa1092bc77bd09a76f5ac,611fa1092bc77bd09a76f5ac,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__613920976b9f224b6eb66b56,613920976b9f224b6eb66b56,613920976b9f224b6eb66b56,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__613a47776c955e9f4ecea585,613a47776c955e9f4ecea585,613a47776c955e9f4ecea585,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__613c9c83c9cd63d09d4ed300,613c9c83c9cd63d09d4ed300,613c9c83c9cd63d09d4ed300,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6140817ff93b30c0c188e259,6140817ff93b30c0c188e259,6140817ff93b30c0c188e259,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__61410d937e107d6a1b7849b0,61410d937e107d6a1b7849b0,61410d937e107d6a1b7849b0,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
