persona_pid,n_requests,top1_unique_player_identities,top1_effective_n,probability_unique_player_identities,probability_effective_n,top_probability_player_identity,top_probability_share
nemotron_2dbb30158a18,48,48,48.00000000000018,144,114.32120583801783,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.015625
nemotron_419f99738bbb,48,48,48.00000000000018,144,115.73573065992215,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.014583333333333332
nemotron_4b99d3783c9f,48,48,48.00000000000018,144,110.11181071890876,chip3__g7_m5wp78__game_2_alt_profile::unicorn-blue-7096,0.016666666666666666
nemotron_4eeb6a38d513,48,48,48.00000000000018,144,114.80554162992537,chip3__g6_m5wp77__game_1::dog-green-8079,0.015
nemotron_5962d44981b6,48,48,48.00000000000018,144,112.45272432352732,chip4__cohort_05_m7xlsd__game_2_alt_profile::whale-pink-487,0.016041666666666666
nemotron_5cc1badd73b3,48,48,48.00000000000018,144,110.68450871357449,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.016666666666666666
nemotron_6724960e0edd,48,48,48.00000000000018,144,112.35104118232306,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.015625
nemotron_757ffdd9b825,48,48,48.00000000000018,144,115.35545237560531,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.015
nemotron_7b89f6756a11,48,48,48.00000000000018,144,110.19648999714597,chip3__g17_m5wp8w__game_1::iguana-blue-1059,0.017083333333333332
nemotron_81c867ee329d,48,48,48.00000000000018,144,112.96181335847619,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.016666666666666666
nemotron_825d51fb1ead,48,48,48.00000000000018,144,110.02357247290512,chip2__cohort_05_m7xjzy__game_2_alt_profile::owl-yellow-7660,0.016458333333333335
nemotron_8a8f1e8d7b3c,48,48,48.00000000000018,144,112.15153946717308,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.015833333333333335
nemotron_8d1dc8f0a145,48,48,48.00000000000018,144,113.90729776069486,chip2__cohort_05_m7xjzy__game_1::owl-yellow-7660,0.015625
nemotron_977a3ad6553e,48,48,48.00000000000018,143,109.72235621822908,chip3__g7_m5wp78__game_2_alt_profile::badger-green-4722,0.01625
nemotron_99bedf79e01a,48,48,48.00000000000018,144,111.98083562142091,chip3__g6_m5wp77__game_1::dog-green-8079,0.016666666666666666
nemotron_9afc2d5a2cf6,48,48,48.00000000000018,144,116.11741173997507,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.015
nemotron_9c3d91aa5e61,48,48,48.00000000000018,144,114.68404726432095,chip2__cohort_15_m8agmu__game_2_alt_profile::camel-pink-767,0.015625
nemotron_a5f87628c5b6,48,48,48.00000000000018,144,112.6726617459035,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.01625
nemotron_aca828ac0daa,48,48,48.00000000000018,144,113.3388599827099,chip2__cohort_05_m7xjzy__game_1::owl-yellow-7660,0.016666666666666666
nemotron_b759705eca6f,48,48,48.00000000000018,144,112.74174376511885,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.016666666666666666
nemotron_b87e2f5e1097,48,48,48.00000000000018,144,112.26991609692647,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.016666666666666666
nemotron_c36692df108d,48,48,48.00000000000018,144,111.69566666184707,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.015625
nemotron_c4269d7a0bd8,48,48,48.00000000000018,144,111.29190066729072,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.01625
nemotron_cbcba47ac388,48,48,48.00000000000018,144,112.79180403237311,chip2__cohort_15_m8agmu__game_2_alt_profile::camel-pink-767,0.01625
nemotron_d9f7ab731447,48,48,48.00000000000018,144,113.41433665467753,chip2__cohort_14_m8agmu__game_1::ram-pink-8623,0.015625
nemotron_e3335d41b6cb,48,48,48.00000000000018,144,111.11134719296359,chip2__cohort_20_m8agzl__game_2_alt_profile::bat-purple-4553,0.016666666666666666
nemotron_e6ce586a4b89,48,48,48.00000000000018,144,110.86482169943292,chip2__cohort_03_m8aexq__game_1::dog-purple-778,0.015625
nemotron_ebfb4f99bbc4,48,48,48.00000000000018,144,111.97065234778248,chip2__cohort_07_m8ag8i__game_1::whale-green-1798,0.016666666666666666
nemotron_ecf2fd51c5ed,48,48,48.00000000000018,144,111.60593962761065,chip4__cohort_03_m898xg__game_2_alt_profile::camel-blue-7414,0.016666666666666666
nemotron_f2adc27833be,48,48,48.00000000000018,144,113.71913984502434,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.015625
nemotron_f581e74f06fb,48,48,48.00000000000018,144,113.22079001796129,chip4__cohort_04_m8aboy__game_1::goose-orange-349,0.015625
nemotron_f622322b3a25,48,48,48.00000000000018,143,113.3066197282457,chip2__cohort_15_m8agmu__game_2_alt_profile::camel-pink-767,0.015625
