iteration,total_top1,candidate_identities,selected_identities,selected_identity_share,never_selected_identities,never_selected_identity_share,entropy_effective_n,entropy_effective_n_share,simpson_effective_n,simpson_effective_n_share,hhi,gini,top_1pct_share,top_5pct_share,top_10pct_share
0,1536.0,144.0,144.0,1.0,0.0,0.0,140.11177853046695,0.9729984620171316,136.47015270708005,0.947709393799167,0.007327609592013889,0.1320258246527779,0.021484375,0.08203125,0.150390625
1,1536.0,144.0,144.0,1.0,0.0,0.0,139.98773621584002,0.9721370570544445,136.32820986940945,0.9467236796486768,0.007335238986545139,0.1332826967592593,0.0234375,0.08268229166666667,0.146484375
2,1536.0,144.0,144.0,1.0,0.0,0.0,138.72913629830046,0.9633967798493087,134.09662384903945,0.9312265545072184,0.007457309299045139,0.15298574942129628,0.024088541666666668,0.0859375,0.154296875
3,1536.0,144.0,144.0,1.0,0.0,0.0,140.23472732211016,0.9738522730702095,136.86599373477202,0.9504582898248057,0.007306416829427083,0.12751374421296302,0.022786458333333332,0.08203125,0.14583333333333334
4,1536.0,144.0,144.0,1.0,0.0,0.0,139.20056848194102,0.9666706144579238,134.90942360475756,0.9368709972552609,0.007412380642361111,0.14619502314814814,0.024088541666666668,0.0859375,0.15234375
5,1536.0,144.0,144.0,1.0,0.0,0.0,137.75299137518024,0.9566179956609739,132.36624775583482,0.919210053859964,0.007554796006944445,0.166748046875,0.025390625,0.091796875,0.16015625
6,1536.0,144.0,144.0,1.0,0.0,0.0,139.37532973232516,0.967884234252258,135.59172413793104,0.9416091954022989,0.007375081380208333,0.1367006655092593,0.0234375,0.08463541666666667,0.14973958333333334
7,1536.0,144.0,144.0,1.0,0.0,0.0,139.02100122654505,0.9654236196287851,134.77070718610761,0.935907688792414,0.007420010036892361,0.1471625434027779,0.0234375,0.08463541666666667,0.15169270833333334
8,1536.0,144.0,144.0,1.0,0.0,0.0,140.12221682978037,0.9730709502068081,136.6598702502317,0.9490268767377201,0.007317437065972222,0.12953016493055558,0.022135416666666668,0.08333333333333333,0.14778645833333334
9,1536.0,144.0,144.0,1.0,0.0,0.0,139.79040841696286,0.9707667251177976,136.1394114252741,0.9454125793421811,0.007345411512586805,0.13462094907407418,0.022135416666666668,0.08268229166666667,0.14908854166666666
10,1536.0,144.0,144.0,1.0,0.0,0.0,139.3075982691161,0.9674138768688619,135.15673693858844,0.9385884509624197,0.007398817274305556,0.14343713831018512,0.024088541666666668,0.08528645833333333,0.14973958333333334
11,1536.0,144.0,144.0,1.0,0.0,0.0,140.62680987504527,0.9765750685767033,137.4881118881119,0.9547785547785548,0.007273356119791667,0.12122034143518512,0.022786458333333332,0.08138020833333333,0.14453125
12,1536.0,144.0,144.0,1.0,0.0,0.0,139.84939993858166,0.9711763884623726,136.29670710571924,0.9465049104563836,0.007336934407552083,0.1349735966435186,0.020833333333333332,0.07942708333333333,0.14388020833333334
13,1536.0,144.0,144.0,1.0,0.0,0.0,139.6275948569314,0.969636075395357,135.8728403593642,0.9435613913844736,0.007359822591145833,0.13946759259259256,0.020833333333333332,0.080078125,0.14518229166666666
14,1536.0,144.0,144.0,1.0,0.0,0.0,139.45915652296148,0.968466364742788,135.66969522714203,0.9421506612995975,0.007370842827690972,0.13876229745370372,0.022135416666666668,0.08203125,0.1484375
15,1536.0,144.0,144.0,1.0,0.0,0.0,139.5275758051273,0.9689414986467173,135.56056079062284,0.9413927832682142,0.007376776801215278,0.13779477719907418,0.024739583333333332,0.08528645833333333,0.15234375
16,1536.0,144.0,144.0,1.0,0.0,0.0,139.97463844563669,0.9720461003169214,136.3754913294798,0.9470520231213874,0.007332695855034722,0.13302951388888884,0.022786458333333332,0.08268229166666667,0.146484375
17,1536.0,144.0,144.0,1.0,0.0,0.0,138.30873542086013,0.9604773293115287,133.8683613254653,0.929641398093509,0.007470024956597222,0.15434208622685186,0.022786458333333332,0.08463541666666667,0.15234375
18,1536.0,144.0,144.0,1.0,0.0,0.0,138.88732834806828,0.9644953357504742,134.50946408209805,0.9340935005701253,0.007434421115451389,0.14938693576388884,0.0234375,0.0859375,0.15299479166666666
19,1536.0,144.0,144.0,1.0,0.0,0.0,140.07050333385274,0.9727118287073107,136.70738208367132,0.9493568200254953,0.007314893934461806,0.12979239004629628,0.021484375,0.080078125,0.14453125
20,1536.0,144.0,144.0,1.0,0.0,0.0,140.1540589050999,0.9732920757298604,136.8977602413833,0.9506788905651619,0.007304721408420139,0.12769458912037046,0.021484375,0.07942708333333333,0.14322916666666666
21,1536.0,144.0,144.0,1.0,0.0,0.0,139.4291561157686,0.9682580285817264,135.43605051664753,0.9405281285878301,0.007383558485243056,0.14275896990740744,0.022786458333333332,0.08203125,0.14778645833333334
22,1536.0,144.0,144.0,1.0,0.0,0.0,138.82947946240782,0.9640936073778321,134.41750227894258,0.9334548769371013,0.007439507378472222,0.15057146990740744,0.022786458333333332,0.0859375,0.15364583333333334
23,1536.0,144.0,144.0,1.0,0.0,0.0,138.0438843435363,0.958638085719002,133.0530115046244,0.9239792465598917,0.007515801323784722,0.16215458622685186,0.0234375,0.08723958333333333,0.15690104166666666
24,1536.0,144.0,144.0,1.0,0.0,0.0,139.19299600410892,0.9666180278063119,135.03296703296704,0.9377289377289377,0.007405598958333333,0.14507378472222232,0.0234375,0.08333333333333333,0.150390625
25,1536.0,144.0,144.0,1.0,0.0,0.0,139.77399179475998,0.9706527207969443,136.17084150986958,0.9456308438185387,0.007343716091579861,0.13456669560185186,0.022786458333333332,0.08138020833333333,0.14518229166666666
26,1536.0,144.0,144.0,1.0,0.0,0.0,138.9720313202414,0.9650835508350097,134.57084188911705,0.9345197353410906,0.0074310302734375,0.14964916087962976,0.022135416666666668,0.0859375,0.15364583333333334
27,1536.0,144.0,144.0,1.0,0.0,0.0,140.0326971645494,0.9724492858649264,136.69154113557357,0.9492468134414831,0.007315741644965278,0.13050672743055558,0.020833333333333332,0.078125,0.14192708333333334
28,1536.0,144.0,144.0,1.0,0.0,0.0,139.14747973992095,0.9663019426383399,134.83232369413648,0.9363355812092811,0.007416619194878472,0.14655671296296302,0.022786458333333332,0.08723958333333333,0.15364583333333334
29,1536.0,144.0,144.0,1.0,0.0,0.0,139.83494420004808,0.9710760013892228,136.1079958463136,0.9451944155994,0.00734710693359375,0.13651982060185186,0.021484375,0.08203125,0.1484375
30,1536.0,144.0,144.0,1.0,0.0,0.0,139.42067032729796,0.9681990994951247,135.42050281253586,0.940420158420388,0.007384406195746528,0.14269567418981488,0.022135416666666668,0.08138020833333333,0.14973958333333334
31,1536.0,144.0,144.0,1.0,0.0,0.0,139.92957220461676,0.9717331403098386,136.6440403104367,0.9489169466002549,0.007318284776475694,0.12897858796296302,0.021484375,0.080078125,0.14388020833333334
