treatment_name,metric,generated_game_count,human_game_count,generated_sd,human_sd,sd_ratio,abs_log_sd_ratio,generated_iqr,human_iqr,iqr_ratio,abs_log_iqr_ratio
VALIDATION_0_C,final_round_normalized_efficiency,10,10,0.053786024119026915,0.2731795634738752,0.1968889013330992,1.6251156619491038,0.0,0.4606711216973225,0.0,
VALIDATION_0_T,final_round_normalized_efficiency,12,12,0.15683789794798197,0.28614540806108135,0.5481055908278036,0.6012873266029554,0.1778846153846153,0.2673735168276652,0.6653037948379544,0.40751150830053345
VALIDATION_10_C,final_round_normalized_efficiency,10,10,0.17650744071832475,0.5043570131399739,0.349965274834671,1.0499213441788702,0.28558052434456926,0.791198501872659,0.3609467455621302,1.0190248507497621
VALIDATION_10_T,final_round_normalized_efficiency,10,10,0.32026852099841163,1.0313056339783557,0.3105466608991037,1.169421112251331,0.34644194756554303,0.294943820224719,1.1746031746031749,0.16093036681263728
VALIDATION_11_C,final_round_normalized_efficiency,10,10,0.1210000839706709,0.23838838681861213,0.5075754133222057,0.6781099814265131,0.22384751773049644,0.36300832664999794,0.6166456835749767,0.4834606767919682
VALIDATION_11_T,final_round_normalized_efficiency,11,11,0.19389713251341462,0.47564151189004067,0.40765393193485594,0.8973366705502844,0.3656914893617021,0.4131591790841922,0.885110407500308,0.12204288751773412
VALIDATION_12_C,final_round_normalized_efficiency,12,12,0.26686477469277786,0.20817768394941574,1.281908654328301,0.24835010348587594,0.24356617647058826,0.17717086834733897,1.3747529644268772,0.31827405274234355
VALIDATION_12_T,final_round_normalized_efficiency,12,12,0.19112285742143487,0.32123983268754447,0.5949537945605005,0.5192715326527457,0.3829656862745098,0.3865108543417367,0.9908277658249348,0.00921455811714218
VALIDATION_13_C,final_round_normalized_efficiency,10,10,0.11958634678424584,0.19457814395275885,0.6145929052200226,0.4867951730881085,0.18925107758620682,0.21219405594405594,0.8918773749067791,0.11442662792988174
VALIDATION_13_T,final_round_normalized_efficiency,11,11,0.11724628060116131,0.2735662484795471,0.42858459789101916,0.8472671324469335,0.16522988505747122,0.28871880412533446,0.5722865386549052,0.5581154713273683
VALIDATION_14_C,final_round_normalized_efficiency,12,12,0.2655554897249745,0.3235742334137886,0.820694178653529,0.19760473751951474,0.3697916666666668,0.45166666666666655,0.8187269372693732,0.20000466065002007
VALIDATION_14_T,final_round_normalized_efficiency,10,10,0.2432330700971579,1.0724088604114053,0.2268100153553814,1.4836425486882765,0.36197916666666674,0.203125,1.7820512820512824,0.5777651064411002
VALIDATION_15_C,final_round_normalized_efficiency,11,11,0.11248576993369606,0.2494339166468441,0.4509642130703369,0.7963672928044871,0.12019230769230767,0.39239926739926745,0.30630105017502907,1.1831868365661018
VALIDATION_15_T,final_round_normalized_efficiency,9,9,0.3123417580943046,0.6815117251382604,0.4583072404674165,0.7802154890594158,0.15624999999999997,0.2234848484848485,0.6991525423728812,0.35788633112502977
VALIDATION_16_C,final_round_normalized_efficiency,10,10,0.15275252316519466,0.33781024752987077,0.45218439725303944,0.7936652238179359,0.16666666666666669,0.3974960876369328,0.41929133858267714,0.8691892818690569
VALIDATION_16_T,final_round_normalized_efficiency,8,8,0.26539046472213745,0.9836276043157709,0.2698078658607267,1.3100451812200953,0.32499999999999996,0.6251956181533647,0.5198372966207758,0.6542394074811944
VALIDATION_17_C,final_round_normalized_efficiency,11,11,0.11245614548790428,0.13585255991392448,0.8277808350402521,0.18900685161435427,0.07753093782615178,0.1642625328190076,0.4719940481593518,0.750788903307968
VALIDATION_17_T,final_round_normalized_efficiency,8,8,0.05434346241598132,0.2031456740393295,0.26750981862139134,1.318599008192996,0.07088365389394169,0.1366218846129701,0.5188308893172185,0.6561772883793218
VALIDATION_18_C,final_round_normalized_efficiency,12,12,0.15845999188592666,0.4197840765343599,0.3774797586276632,0.974238331260005,0.23648648648648649,0.5658783783783783,0.41791044776119407,0.872488109215762
VALIDATION_18_T,final_round_normalized_efficiency,10,10,0.3208614753704742,0.5506993448647906,0.5826436482310563,0.540179517539396,0.6461148648648648,0.9142736486486485,0.7066974595842956,0.34715262605010905
VALIDATION_19_C,final_round_normalized_efficiency,10,10,0.24441515814541862,0.5726657662189238,0.4268024606380633,0.8514339942523593,0.3359375,0.4084821428571428,0.8224043715846996,0.19552306865249036
VALIDATION_19_T,final_round_normalized_efficiency,10,10,0.23261841742433037,4.998625867457863,0.04653647294123904,3.0675189095140447,0.3046875,0.78125,0.39,0.941608539858445
