treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_6_C,144,5.185498979825022,0.0
VALIDATION_7_C,154,5.025837930096554,0.09090909090909091
VALIDATION_17_C,132,4.681735522126326,0.0
VALIDATION_13_T,176,4.233068178276528,0.09090909090909091
VALIDATION_13_C,150,3.1998470754208577,0.0
VALIDATION_11_C,150,2.3781567068208678,0.175
VALIDATION_15_C,143,2.2937612274170016,0.09090909090909091
VALIDATION_0_C,140,2.2052346455885163,0.25
VALIDATION_12_C,168,2.2038850166197395,0.27083333333333337
VALIDATION_10_T,150,2.1407807659502462,0.3
VALIDATION_1_C,96,1.9558708507249938,0.125
VALIDATION_11_T,176,1.9513925453047873,0.2727272727272727
VALIDATION_14_T,160,1.789179478059575,0.2
VALIDATION_15_T,126,1.783470385649896,0.1388888888888889
VALIDATION_6_T,143,1.7646677562678288,0.09090909090909091
VALIDATION_16_T,120,1.702689979095752,0.375
VALIDATION_16_C,140,1.6755182103164872,0.25
VALIDATION_17_T,104,1.6262656476605872,0.875
VALIDATION_19_T,140,1.5506379486674187,0.3
VALIDATION_7_T,180,1.5061236922256773,0.2916666666666667
VALIDATION_14_C,180,1.46164005009801,0.3333333333333333
VALIDATION_9_C,143,1.354076448766922,0.09090909090909091
VALIDATION_10_C,140,1.3163691937880981,0.3
VALIDATION_0_T,180,1.2807765921251018,0.47916666666666663
VALIDATION_18_C,168,1.1987889505219171,0.3333333333333333
VALIDATION_3_T,160,1.188473115286529,0.4
VALIDATION_12_T,180,1.1810513900567616,0.5833333333333334
VALIDATION_2_C,117,1.1228040754034425,0.2222222222222222
VALIDATION_19_C,130,1.1160903488091365,0.2
VALIDATION_9_T,154,1.0151640289001493,0.2727272727272727
VALIDATION_8_C,180,1.0117657291958357,0.25
VALIDATION_5_T,192,1.0065784688180155,0.4166666666666667
VALIDATION_5_C,135,1.0035068144006178,0.3333333333333333
VALIDATION_8_T,176,0.9696283939626356,0.36363636363636365
VALIDATION_18_T,150,0.9584600763002475,0.475
VALIDATION_1_T,104,0.8772562266193946,0.375
VALIDATION_3_C,135,0.8537088159681021,0.3333333333333333
VALIDATION_2_T,154,0.8124296454871321,0.36363636363636365
VALIDATION_4_C,180,0.7930336761720781,0.5
VALIDATION_4_T,144,0.7267415016049824,0.5555555555555556
