task_name,n_overlap_rows,baseline_mean_tvd,twin_mean_tvd,raw_mean_tvd,raw_available,gold_distribution_json,baseline_distribution_json,twin_distribution_json,raw_distribution_json,plot_file
ChaosNLI,500,0.37910000000000005,0.25319903035708946,,False,"{""A"": 0.41536, ""B"": 0.2938, ""C"": 0.29084}","{""A"": 0.35840000000000005, ""B"": 0.188, ""C"": 0.45359999999999995}","{""A"": 0.48655269896621883, ""B"": 0.32039573853378117, ""C"": 0.1930515625}",,chaosnli_distribution_diagnosis.png
ConspiracyCorr,1,0.2734782608695651,0.3010258152173912,,False,"{""A"": 0.0973913043478261, ""B"": 0.25565217391304346, ""C"": 0.22608695652173913, ""D"": 0.2530434782608696, ""E"": 0.1678260869565217}","{""A"": 0.1, ""B"": 0.08, ""C"": 0.3, ""D"": 0.45, ""E"": 0.07}","{""A"": 0.0496875, ""B"": 0.11359375000000001, ""C"": 0.29296875, ""D"": 0.4871875, ""E"": 0.0565625}",,conspiracycorr_distribution_diagnosis.png
GlobalOpinionQA,23,0.1544822458445148,0.15148258637071807,,False,"{""A"": 0.43672573218523497, ""B"": 0.3929016629789342, ""C"": 0.11480818091985137, ""D"": 0.04989907477236949, ""E"": 0.005665349143610014}","{""A"": 0.391304347826087, ""B"": 0.40652173913043477, ""C"": 0.12782608695652173, ""D"": 0.07, ""E"": 0.004347826086956522}","{""A"": 0.3776968973611565, ""B"": 0.4180046640605136, ""C"": 0.13812219634230505, ""D"": 0.06462732919254659, ""E"": 0.001548913043478261}",,globalopinionqa_distribution_diagnosis.png
ISSP,17,0.16746919879972463,0.1830361489499612,,False,"{""A"": 0.09902564104455948, ""B"": 0.2224496749255025, ""C"": 0.24144870444444191, ""D"": 0.21677895554635523, ""E"": 0.1348308308154953, ""F"": 0.043671259075060045, ""G"": 0.02105413683623556, ""H"": 0.005560295429224625, ""I"": 0.008934859553250999, ""J"": 0.004928295264492414, ""K"": 0.0007684296303398563, ""L"": 0.0005489174350421093}","{""A"": 0.0688235294117647, ""B"": 0.21176470588235294, ""C"": 0.2817647058823529, ""D"": 0.17941176470588238, ""E"": 0.13705882352941176, ""F"": 0.07647058823529412, ""G"": 0.02235294117647059, ""H"": 0.005294117647058824, ""I"": 0.007647058823529412, ""J"": 0.005294117647058823, ""K"": 0.0023529411764705885, ""L"": 0.001764705882352941}","{""A"": 0.05558814429237041, ""B"": 0.24195819231157809, ""C"": 0.2853253516753236, ""D"": 0.17723337045214127, ""E"": 0.1382484466558901, ""F"": 0.05755350902737333, ""G"": 0.025411327897495634, ""H"": 0.007461415259172976, ""I"": 0.007627584449621433, ""J"": 0.0023614953407105417, ""K"": 0.000689065230052417, ""L"": 0.0005420974082702388}",,issp_distribution_diagnosis.png
Jester,136,0.43028919820042216,0.4864334918048521,,False,"{""A"": 0.08615240669153228, ""B"": 0.04463480118312419, ""C"": 0.06135237206942749, ""D"": 0.07151462870216191, ""E"": 0.045675315112517385, ""F"": 0.3678383733123732, ""G"": 0.11693095135226764, ""H"": 0.08383189226459313, ""I"": 0.05078896545641992, ""J"": 0.07128029385558293}","{""A"": 0.022058823529411766, ""B"": 0.02095588235294118, ""C"": 0.01985294117647059, ""D"": 0.03419117647058824, ""E"": 0.10919117647058825, ""F"": 0.4742647058823529, ""G"": 0.23713235294117646, ""H"": 0.07500000000000001, ""I"": 0.006985294117647059, ""J"": 0.0003676470588235294}","{""A"": 0.0031479119803511993, ""B"": 0.004951105914174728, ""C"": 0.013575054475929299, ""D"": 0.043204782436615935, ""E"": 0.09455225798049105, ""F"": 0.17381493462292819, ""G"": 0.30590769505450816, ""H"": 0.2695814281710422, ""I"": 0.07993043117863576, ""J"": 0.011334398185323481}",,jester_distribution_diagnosis.png
MoralMachine,72,0.41910998948864553,0.37041198380420737,,False,"{""A"": 0.39169570310499857, ""B"": 0.6083042968950014}","{""A"": 0.5444444444444445, ""B"": 0.4555555555555555}","{""A"": 0.5297873263888889, ""B"": 0.4702126736111111}",,moralmachine_distribution_diagnosis.png
NumberGame,500,0.22625731196907664,0.21805028306048524,,False,"{""A"": 0.3284884961443785, ""B"": 0.6715115038556215}","{""A"": 0.2, ""B"": 0.8}","{""A"": 0.2988703125, ""B"": 0.7011296874999999}",,numbergame_distribution_diagnosis.png
OSPsychMACH,1,0.2493131582233693,0.2343131582233693,,False,"{""A"": 0.14902385214169753, ""B"": 0.21196353494567707, ""C"": 0.13832577113599467, ""D"": 0.21167214752528823, ""E"": 0.28901469425134246}","{""A"": 0.05, ""B"": 0.08, ""C"": 0.12, ""D"": 0.3, ""E"": 0.45}","{""A"": 0.053125, ""B"": 0.07843750000000001, ""C"": 0.1334375, ""D"": 0.27828125, ""E"": 0.45671875}",,ospsychmach_distribution_diagnosis.png
OSPsychMGKT,111,0.15655485228692248,0.14860834384586208,,False,"{""A"": 0.42653086469243284, ""B"": 0.5734691353075672}","{""A"": 0.49576576576576575, ""B"": 0.5042342342342342}","{""A"": 0.511196509009009, ""B"": 0.488803490990991}",,ospsychmgkt_distribution_diagnosis.png
TISP,10,0.14622498400571965,0.19640388750104767,,False,"{""A"": 0.14485706834338924, ""B"": 0.08096485161184333, ""C"": 0.19552697585820214, ""D"": 0.23394742510624714, ""E"": 0.3105125777102299, ""F"": 0.007440853006652511, ""G"": 0.005559341425949266, ""H"": 0.004996850962960679, ""I"": 0.004595117674573389, ""J"": 0.011598938299952444}","{""A"": 0.199, ""B"": 0.14100000000000001, ""C"": 0.155, ""D"": 0.21800000000000003, ""E"": 0.27799999999999997, ""F"": 0.002, ""G"": 0.002, ""H"": 0.002, ""I"": 0.002, ""J"": 0.001}","{""A"": 0.1738125, ""B"": 0.08940624999999999, ""C"": 0.13915625, ""D"": 0.234265625, ""E"": 0.35231250000000003, ""F"": 0.002734375, ""G"": 0.0033125000000000003, ""H"": 0.002328125, ""I"": 0.00146875, ""J"": 0.001203125}",,tisp_distribution_diagnosis.png
WisdomOfCrowds,114,0.28286829336635005,0.26962409044531316,,False,"{""A"": 0.23786078353657178, ""B"": 0.26215181791798087, ""C"": 0.23015786194289187, ""D"": 0.1608624334686081, ""E"": 0.08374355272003256, ""F"": 0.025223550413914872}","{""A"": 0.25780701754385965, ""B"": 0.2006140350877193, ""C"": 0.22798245614035087, ""D"": 0.1957017543859649, ""E"": 0.08710526315789474, ""F"": 0.03078947368421053}","{""A"": 0.2634160481576566, ""B"": 0.20196217622619114, ""C"": 0.23526437183702442, ""D"": 0.19641261533054485, ""E"": 0.07747103035168607, ""F"": 0.025473758096896948}",,wisdomofcrowds_distribution_diagnosis.png
