avatar,top1_count,top1_share,probability_mass,probability_share
CHICK,66,0.05160281469898358,49.00000000000001,0.038311180609851496
CHICKEN,99,0.07740422204847537,111.7999999999998,0.08741204065676303
COW,28,0.0218921032056294,29.060000000000006,0.022720875684128256
CROCODILE,9,0.007036747458952306,13.319999999999999,0.010414386239249424
DOG,64,0.05003909304143862,78.96999999999998,0.06174354964816268
DUCK,132,0.10320562939796717,154.4599999999999,0.12076622361219708
ELEPHANT,5,0.003909304143862392,4.3500000000000005,0.0034010946051602855
FROG,0,0.0,2.1799999999999997,0.0017044566067240048
GORILLA,232,0.181391712275215,238.40000000000003,0.1863956215793591
HORSE,1,0.0007818608287724785,1.5,0.001172791243158719
MONKEY,7,0.00547302580140735,13.689999999999994,0.010703674745895238
MOOSE,34,0.026583268178264268,42.500000000000036,0.0332290852228304
OWL,47,0.03674745895230649,41.620000000000005,0.03254104769351059
PARROT,41,0.03205629397967162,60.03000000000005,0.04693510555121198
PINGUIN,0,0.0,3.55,0.0027756059421423017
RABBIT,39,0.03049257232212666,40.95000000000001,0.032017200938233036
SLOTH,456,0.3565285379202502,374.73000000000036,0.29298670836591145
SNAKE,18,0.014073494917904612,17.21,0.01345582486317437
WHALE,1,0.0007818608287724785,1.6800000000000002,0.0013135261923377655
