distribution,field,n_nonmissing_weight,mean,sd,missing_weight,missing_share
candidate_uniform,age_self_report,1280.0000000000034,37.39682095864602,12.591245313841165,0.0,0.0
candidate_uniform,age_prolific,1258.0336996337076,37.340764108269475,12.546368539807348,21.966300366295854,0.01716117216116859
candidate_uniform,prolific_total_approvals,1280.0000000000034,1008.4790563548268,1346.7290144217734,0.0,0.0
matched_probability,age_self_report,1278.9999999999936,37.54686473807689,11.598911441186363,0.0,0.0
matched_probability,age_prolific,1250.9499999999944,37.41753867061059,11.45228620268507,28.049999999999272,0.02193119624706756
matched_probability,prolific_total_approvals,1278.9999999999936,1154.661133698204,1486.3575577700806,0.0,0.0
matched_top1,age_self_report,1279.0,38.12353401094605,11.282653302325528,0.0,0.0
matched_top1,age_prolific,1251.0,37.98880895283773,11.094818550176619,28.0,0.0218921032056294
matched_top1,prolific_total_approvals,1279.0,1238.9468334636435,1571.9946121103733,0.0,0.0
unique_human_candidate,age_self_report,342.0,37.13742690058479,12.34879790722273,0.0,0.0
unique_human_candidate,age_prolific,337.0,37.16913946587537,12.357119195364366,5.0,0.014619883040935672
unique_human_candidate,prolific_total_approvals,342.0,1013.8976608187135,1300.9518573493513,0.0,0.0
