player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
SLOTH,456,0.3565285379202502,374.73000000000036,0.2929867083659112
GORILLA,232,0.181391712275215,238.40000000000003,0.1863956215793589
DUCK,132,0.10320562939796717,154.4599999999999,0.12076622361219695
CHICKEN,99,0.07740422204847537,111.7999999999998,0.08741204065676293
CHICK,66,0.05160281469898358,49.00000000000001,0.038311180609851454
DOG,64,0.05003909304143862,78.96999999999998,0.061743549648162616
OWL,47,0.03674745895230649,41.620000000000005,0.03254104769351056
PARROT,41,0.03205629397967162,60.03000000000005,0.04693510555121192
RABBIT,39,0.03049257232212666,40.95000000000001,0.032017200938233
MOOSE,34,0.026583268178264268,42.500000000000036,0.033229085222830364
COW,28,0.0218921032056294,29.060000000000006,0.02272087568412823
SNAKE,18,0.014073494917904612,17.21,0.013455824863174355
CROCODILE,9,0.007036747458952306,13.319999999999999,0.010414386239249413
MONKEY,7,0.00547302580140735,13.689999999999994,0.010703674745895226
ELEPHANT,5,0.003909304143862392,4.3500000000000005,0.003401094605160282
HORSE,1,0.0007818608287724785,1.5,0.0011727912431587178
WHALE,1,0.0007818608287724785,1.6800000000000002,0.001313526192337764
