custom_id,persona_pid,game_id,treatment_name,metric,matched_value,candidate_uniform_value,diff
persona_match__pid_1096__game_2KKC9nMd8nRXfgH5G__p002__g021,1096,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,mean_contribution_rate,0.39956896551724136,0.4594827586206894,-0.05991379310344802
persona_match__pid_1096__game_2TDnnb4wn9rwy3CYZ__p002__g026,1096,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,mean_contribution_rate,0.27,0.5037500000000001,-0.23375000000000012
persona_match__pid_1096__game_2TquMDieEiixty8AN__p002__g002,1096,2TquMDieEiixty8AN,VALIDATION_0_T,mean_contribution_rate,1.0,0.9166666666666646,0.08333333333333537
persona_match__pid_1096__game_2khRAszouj8vP8ZfP__p002__g019,1096,2khRAszouj8vP8ZfP,VALIDATION_18_C,mean_contribution_rate,0.908695652173913,0.9565217391304345,-0.04782608695652146
persona_match__pid_1096__game_3EG5RaDj4z7hkT2JD__p002__g004,1096,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,mean_contribution_rate,0.6991666666666667,0.7277777777777789,-0.028611111111112142
persona_match__pid_1096__game_3EQGxadfbmAKaACgZ__p002__g032,1096,3EQGxadfbmAKaACgZ,VALIDATION_5_T,mean_contribution_rate,1.0,0.9166666666666659,0.08333333333333415
persona_match__pid_1096__game_3v9ji6wNY7sXHe8cM__p002__g029,1096,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,mean_contribution_rate,0.2875,0.4285714285714297,-0.14107142857142974
persona_match__pid_1096__game_5R7YRmti4R5GiJKpi__p002__g036,1096,5R7YRmti4R5GiJKpi,VALIDATION_7_T,mean_contribution_rate,0.9428421052631579,0.9613157894736803,-0.018473684210522423
persona_match__pid_1096__game_5mhtM66ewYHNxSp4q__p002__g001,1096,5mhtM66ewYHNxSp4q,VALIDATION_0_C,mean_contribution_rate,0.36666666666666664,0.6833333333333295,-0.3166666666666628
persona_match__pid_1096__game_65crAkEscRbHNJXbW__p002__g003,1096,65crAkEscRbHNJXbW,VALIDATION_10_C,mean_contribution_rate,0.5583333333333333,0.7083333333333341,-0.1500000000000008
persona_match__pid_1096__game_6BxRfLcBtXYodAS8h__p002__g037,1096,6BxRfLcBtXYodAS8h,VALIDATION_8_C,mean_contribution_rate,0.29250000000000004,0.6333333333333321,-0.34083333333333204
persona_match__pid_1096__game_6Pxb9DsQpyk22cJNr__p002__g023,1096,6Pxb9DsQpyk22cJNr,VALIDATION_1_C,mean_contribution_rate,0.5762499999999999,0.638541666666668,-0.06229166666666808
persona_match__pid_1096__game_6pQRuemJv5faRcZft__p002__g040,1096,6pQRuemJv5faRcZft,VALIDATION_9_T,mean_contribution_rate,0.2566666666666667,0.6218518518518544,-0.3651851851851877
