fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,800,200,262,65,ok,0.9257214069366455,0.8919355869293213,0.9446331858634949,0.05269763991236687,0.02,0.055,9.329453314421698e-05,101.0415
1,mlp,800,200,262,65,ok,0.8296355605125427,0.8908001184463501,0.9446331858634949,0.05383312329649925,0.0,0.03,0.0002507099125068635,258.598
2,elastic_net,800,200,262,65,ok,0.9300746321678162,0.8982848525047302,0.9450035691261292,0.046718768775463104,0.015,0.065,8.7887114204932e-05,87.4326
2,mlp,800,200,262,65,ok,0.8393313884735107,0.8941633701324463,0.9450035691261292,0.050840262323617935,0.005,0.025,0.0002259806205984205,253.7567
3,elastic_net,800,200,262,65,ok,0.926730215549469,0.8966835737228394,0.9420643448829651,0.045380815863609314,0.035,0.07,9.203821537084877e-05,60.6143
3,mlp,800,200,262,65,ok,0.8354871869087219,0.8904054760932922,0.9420643448829651,0.05165883153676987,0.02,0.055,0.00022599172370973974,246.3046
4,elastic_net,800,200,261,66,ok,0.9261078834533691,0.8900673389434814,0.9424307346343994,0.05236329883337021,0.01,0.045,9.27630826481618e-05,98.5269
4,mlp,800,200,261,66,ok,0.8281688094139099,0.8826339840888977,0.9424307346343994,0.05979664623737335,0.0,0.025,0.00025058872415684164,229.8147
5,elastic_net,800,200,261,66,ok,0.9286342859268188,0.8946864604949951,0.9456439018249512,0.05095750465989113,0.0,0.035,8.967440226115286e-05,80.6861
5,mlp,800,200,261,66,ok,0.8394903540611267,0.889014720916748,0.9456439018249512,0.05662919580936432,0.005,0.025,0.0002163504104828462,291.4324
