tag,model_name,n_player_game_rows,n_games,n_splits,accuracy,macro_f1,log_loss
COMMUNICATION,dummy_prior,1759,164,5,0.4007959067652075,0.14306006493506493,1.164178205849002
COMMUNICATION,config_only,1759,164,5,0.5861284820920978,0.4207735563358307,0.8329937387626494
COMMUNICATION,tag_only,1759,164,5,0.40477544059124504,0.2788528004973301,1.1479177349442546
COMMUNICATION,config_plus_tag,1759,164,5,0.603752131893121,0.4471433784437389,0.8138175891984557
PUNISHMENT,dummy_prior,1696,164,5,0.3602594339622642,0.13242306025140876,1.1686234983503136
PUNISHMENT,config_only,1696,164,5,0.6338443396226415,0.4614294853137969,0.778919414319113
PUNISHMENT,tag_only,1696,164,5,0.4204009433962264,0.26890352820615704,1.1485195692491823
PUNISHMENT,config_plus_tag,1696,164,5,0.6385613207547169,0.4687951130180214,0.7665512123699509
REWARD,dummy_prior,1678,161,5,0.3438617401668653,0.1828789949315757,1.1873489494701122
REWARD,config_only,1678,161,5,0.6174016686531585,0.4406013303913595,0.7949414713640595
REWARD,tag_only,1678,161,5,0.37902264600715135,0.255678719671971,1.1810578444478146
REWARD,config_plus_tag,1678,161,5,0.6185935637663885,0.4460547006888884,0.7936077451032435
RESPONSE_TO_END_GAME,dummy_prior,1816,176,5,0.3584801762114537,0.13194162950952573,1.1942874128242593
RESPONSE_TO_END_GAME,config_only,1816,176,5,0.6519823788546255,0.4476882376882376,0.7945440950041672
RESPONSE_TO_END_GAME,tag_only,1816,176,5,0.5600220264317181,0.3931605704663311,0.934243001393799
RESPONSE_TO_END_GAME,config_plus_tag,1816,176,5,0.7329295154185022,0.5531262384639032,0.557648772280911
RESPONSE_TO_OTHERS_OUTCOME,dummy_prior,1772,170,5,0.39108352144469527,0.14056795131845842,1.1805894683629385
RESPONSE_TO_OTHERS_OUTCOME,config_only,1772,170,5,0.667607223476298,0.4524129773013037,0.7625295332311488
RESPONSE_TO_OTHERS_OUTCOME,tag_only,1772,170,5,0.42663656884875845,0.31646422304103694,1.0974232943476736
RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag,1772,170,5,0.6766365688487584,0.48013564818803045,0.6977618151782538
RESPONSE_TO_PUNISHER,dummy_prior,865,84,5,0.36184971098265895,0.13285229202037352,1.1627905894539476
RESPONSE_TO_PUNISHER,config_only,865,84,5,0.6439306358381502,0.4711873359832592,0.779496024123507
RESPONSE_TO_PUNISHER,tag_only,865,84,5,0.553757225433526,0.3926858015648879,1.0057946163604154
RESPONSE_TO_PUNISHER,config_plus_tag,865,84,5,0.7040462427745665,0.530908759526988,0.6447437845031148
RESPONSE_TO_REWARDER,dummy_prior,863,85,5,0.36616454229432216,0.13401187446988974,1.1746052243101184
RESPONSE_TO_REWARDER,config_only,863,85,5,0.6141367323290846,0.43329651649623213,0.784034025577733
RESPONSE_TO_REWARDER,tag_only,863,85,5,0.3650057937427578,0.27391364300543247,1.1493652987829244
RESPONSE_TO_REWARDER,config_plus_tag,863,85,5,0.6349942062572422,0.4598438945420906,0.7870263863860988
