tag,cluster_id,cluster_title,config_feature,config_value_0,config_value_1,n_rows_0,n_rows_1,dominant_outcome_0,dominant_outcome_1,dominant_share_0,dominant_share_1,dominant_outcome_changes,total_variation_distance,always_full_gap,always_zero_gap,binary_0_20_gap,other_gap
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_allOrNothing,False,True,70,59,other,always_full,0.8142857142857143,0.6271186440677966,True,0.8142857142857143,0.4414043583535109,0.06779661016949153,0.3050847457627119,-0.8142857142857143
COMMUNICATION,1,Silent Observers in Social Dynamics,CONFIG_allOrNothing,False,True,182,168,other,binary_0_20,0.7362637362637363,0.48214285714285715,True,0.7362637362637363,0.24771062271062272,0.05586080586080586,0.4326923076923077,-0.7362637362637363
COMMUNICATION,2,Quietly Cooperative Social Participants,CONFIG_allOrNothing,False,True,122,135,other,binary_0_20,0.7131147540983607,0.5851851851851851,True,0.7131147540983607,0.1466909532483303,0.014025500910746813,0.5523982999392835,-0.7131147540983607
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,CONFIG_allOrNothing,False,True,95,130,other,binary_0_20,0.7052631578947368,0.5923076923076923,True,0.7052631578947368,0.13562753036437247,0.06153846153846154,0.5080971659919028,-0.7052631578947368
COMMUNICATION,5,Engaged Social Coordinators,CONFIG_allOrNothing,False,True,156,204,other,always_full,0.6410256410256411,0.5588235294117647,True,0.6425339366515838,0.23831070889894418,-0.0015082956259426846,0.4042232277526395,-0.6410256410256411
COMMUNICATION,4,Subtle Contributors in Cooperative Settings,CONFIG_allOrNothing,False,True,132,122,other,always_full,0.5454545454545454,0.6721311475409836,True,0.5454545454545454,0.2554644808743169,0.0,0.28999006458022847,-0.5454545454545454
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,CONFIG_allOrNothing,False,True,90,94,other,always_full,0.43333333333333335,0.648936170212766,True,0.43333333333333335,0.22671394799054373,0.010638297872340425,0.19598108747044918,-0.43333333333333335
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_showOtherSummaries,False,True,86,43,always_full,other,0.4418604651162791,0.6046511627906976,True,0.24418604651162792,-0.16279069767441862,-0.011627906976744186,-0.06976744186046513,0.2441860465116279
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_defaultContribProp,0,1,82,47,other,always_full,0.524390243902439,0.46808510638297873,True,0.22651790347690712,0.12662169174883237,0.018162947586922676,0.08173326414115205,-0.22651790347690715
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,CONFIG_punishmentExists,False,True,101,124,binary_0_20,always_full,0.40594059405940597,0.3709677419354839,True,0.18284893005429576,0.18284893005429576,-0.025311402107952734,-0.051101884381986595,-0.10643564356435642
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,CONFIG_showOtherSummaries,False,True,79,146,always_full,binary_0_20,0.379746835443038,0.4315068493150685,True,0.18276400208080462,-0.14002080804577774,-0.04274319403502688,0.15302583665684066,0.029738165423963958
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,CONFIG_rewardExists,False,True,96,129,other,binary_0_20,0.3854166666666667,0.43410852713178294,True,0.18168604651162792,0.04966085271317827,-0.028827519379844964,0.13202519379844962,-0.15285852713178297
COMMUNICATION,1,Silent Observers in Social Dynamics,CONFIG_punishmentExists,False,True,186,164,other,always_full,0.43548387096774194,0.3902439024390244,True,0.15906110674009966,0.15906110674009968,-0.03330710726462103,-0.013440860215053752,-0.11231313926042485
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_showNRounds,False,True,70,59,always_full,other,0.45714285714285713,0.4745762711864407,True,0.15205811138014524,-0.15205811138014524,0.036561743341404364,0.055205811138014524,0.06029055690072638
COMMUNICATION,2,Quietly Cooperative Social Participants,CONFIG_showOtherSummaries,False,True,161,96,always_full,other,0.36024844720496896,0.4270833333333333,True,0.14978002070393373,-0.09983178053830227,0.008410973084886128,-0.04994824016563143,0.14136904761904762
COMMUNICATION,5,Engaged Social Coordinators,CONFIG_showOtherSummaries,False,True,190,170,always_full,always_full,0.5105263157894737,0.3941176470588235,False,0.1430340557275542,-0.1164086687306502,0.011764705882352941,-0.026625386996904032,0.13126934984520122
COMMUNICATION,3,Minimalist Communicators in Group Dynamics,CONFIG_showNRounds,False,True,86,139,always_full,binary_0_20,0.37209302325581395,0.4244604316546763,True,0.13468295131336794,-0.1346829513133679,0.0010875020913501746,0.12213485025932747,0.011460598962690305
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_showRewardId,False,True,53,76,other,always_full,0.49056603773584906,0.42105263157894735,True,0.13406156901688182,0.0814299900695134,0.05263157894736842,-0.05139026812313803,-0.0826713008937438
COMMUNICATION,0,Silent Participants in Communication Dynamics,CONFIG_showPunishmentId,False,True,53,76,other,always_full,0.49056603773584906,0.42105263157894735,True,0.13406156901688182,0.0814299900695134,0.05263157894736842,-0.05139026812313803,-0.0826713008937438
COMMUNICATION,6,Assertive Norm Enforcers in Group Dynamics,CONFIG_showRewardId,False,True,101,83,always_full,always_full,0.5247524752475248,0.5542168674698795,False,0.13264940951926518,0.02946439222235475,-0.009900990099009901,0.10318501729691043,-0.1227484194202553
