tag,n_player_game_rows,n_games,n_clusters,share_always_full,share_always_zero,share_binary_0_20,share_other,min_class_count
RESPONSE_TO_END_GAME,1816,176,7,0.30066079295154186,0.028634361233480177,0.31222466960352424,0.3584801762114537,52
RESPONSE_TO_OTHERS_OUTCOME,1772,170,7,0.2878103837471783,0.025959367945823927,0.2951467268623025,0.39108352144469527,46
COMMUNICATION,1759,164,7,0.4007959067652075,0.02160318362706083,0.26151222285389425,0.3160886867538374,38
PUNISHMENT,1696,164,7,0.3602594339622642,0.020047169811320754,0.2759433962264151,0.34375,34
REWARD,1678,161,7,0.3438617401668653,0.026221692491060787,0.28426698450536353,0.3456495828367104,44
RESPONSE_TO_PUNISHER,865,84,7,0.3514450867052023,0.018497109826589597,0.2682080924855491,0.36184971098265895,16
RESPONSE_TO_REWARDER,863,85,7,0.34530706836616454,0.023174971031286212,0.2653534183082271,0.36616454229432216,20
