tag,n_cluster_config_pairs,share_dominant_outcome_changes,max_total_variation_distance,mean_total_variation_distance
RESPONSE_TO_REWARDER,42,0.5952380952380952,0.8913043478260869,0.25204622618192696
RESPONSE_TO_OTHERS_OUTCOME,55,0.5636363636363636,0.925,0.22626290493894582
COMMUNICATION,56,0.48214285714285715,0.8142857142857143,0.16595536006728956
REWARD,55,0.45454545454545453,0.8494623655913979,0.19938148372964587
PUNISHMENT,56,0.4107142857142857,0.8888888888888888,0.17010513088648715
RESPONSE_TO_END_GAME,55,0.21818181818181817,0.9644670050761421,0.18156812299650057
RESPONSE_TO_PUNISHER,42,0.19047619047619047,0.9444444444444444,0.2248300907136843
