tag,accuracy_config_only,accuracy_config_plus_tag,accuracy_dummy_prior,accuracy_tag_only,macro_f1_config_only,macro_f1_config_plus_tag,macro_f1_dummy_prior,macro_f1_tag_only,log_loss_config_only,log_loss_config_plus_tag,log_loss_dummy_prior,log_loss_tag_only,macro_f1_gain_vs_config,log_loss_improvement_vs_config
RESPONSE_TO_END_GAME,0.6519823788546255,0.7329295154185022,0.3584801762114537,0.5600220264317181,0.4476882376882376,0.5531262384639032,0.13194162950952573,0.3931605704663311,0.7945440950041672,0.557648772280911,1.1942874128242593,0.934243001393799,0.10543800077566556,0.2368953227232562
RESPONSE_TO_PUNISHER,0.6439306358381502,0.7040462427745665,0.36184971098265895,0.553757225433526,0.4711873359832592,0.530908759526988,0.13285229202037352,0.3926858015648879,0.779496024123507,0.6447437845031148,1.1627905894539476,1.0057946163604154,0.059721423543728835,0.1347522396203923
RESPONSE_TO_OTHERS_OUTCOME,0.667607223476298,0.6766365688487584,0.39108352144469527,0.42663656884875845,0.4524129773013037,0.48013564818803045,0.14056795131845842,0.31646422304103694,0.7625295332311488,0.6977618151782538,1.1805894683629385,1.0974232943476736,0.027722670886726752,0.06476771805289505
RESPONSE_TO_REWARDER,0.6141367323290846,0.6349942062572422,0.36616454229432216,0.3650057937427578,0.43329651649623213,0.4598438945420906,0.13401187446988974,0.27391364300543247,0.784034025577733,0.7870263863860988,1.1746052243101184,1.1493652987829244,0.026547378045858494,-0.002992360808365735
COMMUNICATION,0.5861284820920978,0.603752131893121,0.4007959067652075,0.40477544059124504,0.4207735563358307,0.4471433784437389,0.14306006493506493,0.2788528004973301,0.8329937387626494,0.8138175891984557,1.164178205849002,1.1479177349442546,0.026369822107908225,0.019176149564193667
PUNISHMENT,0.6338443396226415,0.6385613207547169,0.3602594339622642,0.4204009433962264,0.4614294853137969,0.4687951130180214,0.13242306025140876,0.26890352820615704,0.778919414319113,0.7665512123699509,1.1686234983503136,1.1485195692491823,0.007365627704224498,0.012368201949162105
REWARD,0.6174016686531585,0.6185935637663885,0.3438617401668653,0.37902264600715135,0.4406013303913595,0.4460547006888884,0.1828789949315757,0.255678719671971,0.7949414713640595,0.7936077451032435,1.1873489494701122,1.1810578444478146,0.005453370297528903,0.0013337262608159595
