tag,n_clusters,mean_cluster_dominant_share,median_cluster_dominant_share,max_cluster_dominant_share,mean_cluster_entropy_bits
RESPONSE_TO_PUNISHER,7,0.5715799847688517,0.5795454545454546,0.6568627450980392,1.3554651098364958
RESPONSE_TO_END_GAME,7,0.5437224187682109,0.5630498533724341,0.6546546546546547,1.3610028888748074
RESPONSE_TO_OTHERS_OUTCOME,7,0.45890734849909315,0.48514851485148514,0.5870445344129555,1.551671263200474
RESPONSE_TO_REWARDER,7,0.44547760698143934,0.4161073825503356,0.6833333333333333,1.581216899323431
COMMUNICATION,7,0.4391408427265704,0.4418604651162791,0.5393700787401575,1.6159949343008737
PUNISHMENT,7,0.42971020635433144,0.42391304347826086,0.5644599303135889,1.6373993366870927
REWARD,7,0.4065698605788467,0.39487179487179486,0.47878787878787876,1.6659673249478553
