fold,n_test_rows,n_test_games,accuracy,macro_f1,log_loss,tag,model_name
1,351,31,0.39886039886039887,0.1425661914460285,1.175196178431604,COMMUNICATION,dummy_prior
2,352,33,0.4005681818181818,0.14300202839756593,1.16010864494919,COMMUNICATION,dummy_prior
3,353,32,0.40226628895184136,0.14343434343434344,1.1664497894212404,COMMUNICATION,dummy_prior
4,352,33,0.4005681818181818,0.14300202839756593,1.159565792351397,COMMUNICATION,dummy_prior
5,351,35,0.4017094017094017,0.14329268292682926,1.1595824155652337,COMMUNICATION,dummy_prior
1,351,31,0.6182336182336182,0.4446709798717098,0.8374236455327617,COMMUNICATION,config_only
2,352,33,0.5823863636363636,0.42521599500131313,0.8212736448097971,COMMUNICATION,config_only
3,353,32,0.5354107648725213,0.38160551690442307,0.8718119714436331,COMMUNICATION,config_only
4,352,33,0.6107954545454546,0.428038588815974,0.8051216178239535,COMMUNICATION,config_only
5,351,35,0.584045584045584,0.41387382565535746,0.8292294260251232,COMMUNICATION,config_only
1,351,31,0.3903133903133903,0.25810936768323955,1.168786793288406,COMMUNICATION,tag_only
2,352,33,0.3977272727272727,0.2610860981244018,1.1607301944701993,COMMUNICATION,tag_only
3,353,32,0.45325779036827196,0.3301483003986686,1.1229637860198303,COMMUNICATION,tag_only
4,352,33,0.4005681818181818,0.269127844145223,1.1372117626688683,COMMUNICATION,tag_only
5,351,35,0.3817663817663818,0.2615860990860991,1.1500323246289497,COMMUNICATION,tag_only
1,351,31,0.6068376068376068,0.4450826090360974,0.8517794528785041,COMMUNICATION,config_plus_tag
2,352,33,0.6306818181818182,0.4671531625449655,0.771918856610613,COMMUNICATION,config_plus_tag
3,353,32,0.5977337110481586,0.447737755389237,0.8407513675175541,COMMUNICATION,config_plus_tag
4,352,33,0.6079545454545454,0.4509533258562678,0.7860579578146427,COMMUNICATION,config_plus_tag
5,351,35,0.5754985754985755,0.4228619142999854,0.8186252992260457,COMMUNICATION,config_plus_tag
1,339,34,0.35693215339233036,0.13152173913043477,1.1630731098538083,PUNISHMENT,dummy_prior
2,340,32,0.3588235294117647,0.13203463203463203,1.1702684510661312,PUNISHMENT,dummy_prior
3,340,33,0.3588235294117647,0.13203463203463203,1.1702684510661312,PUNISHMENT,dummy_prior
4,339,33,0.36283185840707965,0.1331168831168831,1.1777220365145997,PUNISHMENT,dummy_prior
5,338,32,0.363905325443787,0.1334056399132321,1.161755478870628,PUNISHMENT,dummy_prior
1,339,34,0.6106194690265486,0.43778156102671556,0.7780781772155732,PUNISHMENT,config_only
2,340,32,0.6558823529411765,0.47969187675070024,0.7716153342694755,PUNISHMENT,config_only
3,340,33,0.6411764705882353,0.46589394576534465,0.7655434044535532,PUNISHMENT,config_only
4,339,33,0.6135693215339233,0.434015272775777,0.8378068500148429,PUNISHMENT,config_only
5,338,32,0.6479289940828402,0.4731185593692204,0.7415039387227064,PUNISHMENT,config_only
1,339,34,0.40707964601769914,0.24061561561561562,1.1450737760948009,PUNISHMENT,tag_only
2,340,32,0.45294117647058824,0.26788612961841307,1.1283572001248812,PUNISHMENT,tag_only
3,340,33,0.43529411764705883,0.2537374602397847,1.153903309510172,PUNISHMENT,tag_only
4,339,33,0.37168141592920356,0.2546892901370513,1.1726616689511462,PUNISHMENT,tag_only
5,338,32,0.4349112426035503,0.3016471273824215,1.1426281073968017,PUNISHMENT,tag_only
1,339,34,0.6460176991150443,0.4782805313741341,0.76531235694789,PUNISHMENT,config_plus_tag
2,340,32,0.6558823529411765,0.4855326576764317,0.7473304331361038,PUNISHMENT,config_plus_tag
3,340,33,0.6441176470588236,0.47335253229454033,0.7589456355208561,PUNISHMENT,config_plus_tag
4,339,33,0.6047197640117994,0.4387352743430092,0.831578030425581,PUNISHMENT,config_plus_tag
5,338,32,0.6420118343195266,0.4664095615315127,0.7295596198711947,PUNISHMENT,config_plus_tag
1,335,32,0.34626865671641793,0.1286031042128603,1.188290442546395,REWARD,dummy_prior
2,336,33,0.34523809523809523,0.12831858407079647,1.188482176409942,REWARD,dummy_prior
3,336,32,0.3392857142857143,0.12666666666666668,1.1890537518783884,REWARD,dummy_prior
4,336,32,0.3482142857142857,0.1291390728476821,1.1808706400287277,REWARD,dummy_prior
5,335,32,0.3402985074626866,0.12694877505567928,1.190058602994849,REWARD,dummy_prior
1,335,32,0.6029850746268657,0.4243554239877769,0.7962164760134726,REWARD,config_only
2,336,33,0.6041666666666666,0.4295854744775608,0.8086727006255426,REWARD,config_only
3,336,32,0.6101190476190477,0.42973889435906215,0.7926323247651232,REWARD,config_only
4,336,32,0.6101190476190477,0.4398854161717066,0.7899894711158789,REWARD,config_only
5,335,32,0.6597014925373135,0.4741161819778172,0.7871770706214312,REWARD,config_only
1,335,32,0.36716417910447763,0.24078438228164736,1.177803570980547,REWARD,tag_only
2,336,33,0.37202380952380953,0.2174758011936406,1.1768966424049705,REWARD,tag_only
3,336,32,0.32142857142857145,0.21770140428677015,1.2143379705353676,REWARD,tag_only
4,336,32,0.4017857142857143,0.2753302650142096,1.1646578208042637,REWARD,tag_only
5,335,32,0.43283582089552236,0.30138143030935005,1.1715552506470546,REWARD,tag_only
1,335,32,0.6179104477611941,0.44506866416978774,0.7820221109679734,REWARD,config_plus_tag
2,336,33,0.5982142857142857,0.42881036342264395,0.8017866425383224,REWARD,config_plus_tag
3,336,32,0.5803571428571429,0.4103342653787494,0.8172831488472225,REWARD,config_plus_tag
4,336,32,0.6458333333333334,0.4709593065789667,0.7908340125686417,REWARD,config_plus_tag
5,335,32,0.6507462686567164,0.47509228876127974,0.7760260029264617,REWARD,config_plus_tag
1,362,36,0.35911602209944754,0.13211382113821138,1.191792157389423,RESPONSE_TO_END_GAME,dummy_prior
2,364,36,0.35714285714285715,0.13157894736842105,1.1916577158328256,RESPONSE_TO_END_GAME,dummy_prior
3,362,36,0.35911602209944754,0.13211382113821138,1.191792157389423,RESPONSE_TO_END_GAME,dummy_prior
4,365,34,0.3589041095890411,0.13205645161290322,1.1978534660425428,RESPONSE_TO_END_GAME,dummy_prior
5,363,34,0.3581267217630854,0.13184584178498987,1.1983154161714487,RESPONSE_TO_END_GAME,dummy_prior
1,362,36,0.6823204419889503,0.4735632183908046,0.7648710863147316,RESPONSE_TO_END_GAME,config_only
2,364,36,0.6538461538461539,0.45698657988175584,0.7579692227214361,RESPONSE_TO_END_GAME,config_only
3,362,36,0.6464088397790055,0.4651439015629339,0.7750100678802385,RESPONSE_TO_END_GAME,config_only
4,365,34,0.6328767123287671,0.3889743156471781,0.8595947983416425,RESPONSE_TO_END_GAME,config_only
5,363,34,0.6446280991735537,0.4259093006147209,0.814882094335224,RESPONSE_TO_END_GAME,config_only
1,362,36,0.5828729281767956,0.4088552621523105,0.9034327374915151,RESPONSE_TO_END_GAME,tag_only
2,364,36,0.5412087912087912,0.37419074589212176,0.9570747832623678,RESPONSE_TO_END_GAME,tag_only
3,362,36,0.5441988950276243,0.38074858592002847,0.9328701728712735,RESPONSE_TO_END_GAME,tag_only
4,365,34,0.536986301369863,0.38458648319026567,0.9483530330872282,RESPONSE_TO_END_GAME,tag_only
5,363,34,0.5950413223140496,0.417244738019218,0.9292549829076284,RESPONSE_TO_END_GAME,tag_only
1,362,36,0.7651933701657458,0.5785504817762882,0.5070037095226603,RESPONSE_TO_END_GAME,config_plus_tag
2,364,36,0.7582417582417582,0.5746670643880619,0.5595312790588285,RESPONSE_TO_END_GAME,config_plus_tag
3,362,36,0.7348066298342542,0.5567980936704786,0.5494973796625634,RESPONSE_TO_END_GAME,config_plus_tag
4,365,34,0.7013698630136986,0.5203330537806794,0.5587073165726989,RESPONSE_TO_END_GAME,config_plus_tag
5,363,34,0.7052341597796143,0.527048524327764,0.6133311847124922,RESPONSE_TO_END_GAME,config_plus_tag
1,357,35,0.3865546218487395,0.1393939393939394,1.1801404710855758,RESPONSE_TO_OTHERS_OUTCOME,dummy_prior
2,355,36,0.39154929577464787,0.14068825910931174,1.185784952316438,RESPONSE_TO_OTHERS_OUTCOME,dummy_prior
3,354,33,0.3926553672316384,0.140973630831643,1.1788332716886907,RESPONSE_TO_OTHERS_OUTCOME,dummy_prior
4,354,34,0.3926553672316384,0.140973630831643,1.1787684306878556,RESPONSE_TO_OTHERS_OUTCOME,dummy_prior
5,352,32,0.39204545454545453,0.14081632653061224,1.1794026393407493,RESPONSE_TO_OTHERS_OUTCOME,dummy_prior
1,357,35,0.6582633053221288,0.4489596231151517,0.7641543181323913,RESPONSE_TO_OTHERS_OUTCOME,config_only
2,355,36,0.6535211267605634,0.4456837849340332,0.7638533478750928,RESPONSE_TO_OTHERS_OUTCOME,config_only
3,354,33,0.6949152542372882,0.4746980160958263,0.7324942798311239,RESPONSE_TO_OTHERS_OUTCOME,config_only
4,354,34,0.6779661016949152,0.46330212851233166,0.7461301671383881,RESPONSE_TO_OTHERS_OUTCOME,config_only
5,352,32,0.6534090909090909,0.428898782795561,0.8062450244018939,RESPONSE_TO_OTHERS_OUTCOME,config_only
1,357,35,0.42857142857142855,0.3164028378228578,1.0955018559723142,RESPONSE_TO_OTHERS_OUTCOME,tag_only
2,355,36,0.4028169014084507,0.3051039066581529,1.1240141681912967,RESPONSE_TO_OTHERS_OUTCOME,tag_only
3,354,33,0.4576271186440678,0.32358276643990935,1.0793652551689106,RESPONSE_TO_OTHERS_OUTCOME,tag_only
4,354,34,0.3728813559322034,0.25667377617508447,1.1413893706420233,RESPONSE_TO_OTHERS_OUTCOME,tag_only
5,352,32,0.4715909090909091,0.3578498531735942,1.046499283400513,RESPONSE_TO_OTHERS_OUTCOME,tag_only
1,357,35,0.6862745098039216,0.4889223247463289,0.6832598869795278,RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag
2,355,36,0.647887323943662,0.46557809315541276,0.7054142499145063,RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag
3,354,33,0.7062146892655368,0.49638171929876296,0.6655432147660983,RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag
4,354,34,0.6412429378531074,0.4460771036475262,0.727040522118027,RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag
5,352,32,0.7017045454545454,0.50175474905758,0.7077086797373412,RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag
1,173,16,0.3468208092485549,0.12875536480686695,1.194549356194751,RESPONSE_TO_PUNISHER,dummy_prior
2,173,16,0.36416184971098264,0.13347457627118645,1.1596223533403316,RESPONSE_TO_PUNISHER,dummy_prior
