score_family,metric,noise_ceiling_mean,noise_ceiling_p05,noise_ceiling_p50,noise_ceiling_p95,bootstrap_iters
mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.6379863148190649,0.46845311570637344,0.6175846078798164,0.8051207398708077,200
mean_abs_log_iqr_ratio,final_total_contribution_rate,0.5193605022496625,0.39804073464632317,0.5164509522144095,0.6564217640392379,200
mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6223275759504027,0.47991026404944426,0.6129069920371264,0.7840384577794991,200
mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.5997770220971235,0.46787181925386573,0.5931106386948415,0.7310515050414346,200
mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,0.5480743511382871,0.43168639188054525,0.5382376002087335,0.6728247358937183,200
mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.6457021157171728,0.4991791851213903,0.6428446957171154,0.80364588236085,200
mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5865053168810769,0.4683690593468941,0.5842138855466308,0.7190393564782998,200
mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.36990464611053314,0.27450533317137815,0.3719266997292434,0.469794237758881,200
mean_abs_log_sd_ratio,final_total_contribution_rate,0.2471228694503098,0.19136748000658252,0.24302736249383566,0.3083229612196128,200
mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.31756908586887733,0.2405295897537043,0.3124746935412311,0.4006190073472047,200
mean_abs_log_sd_ratio,mean_total_contribution_rate,0.29346436189251285,0.2257921778338033,0.289792910694954,0.3714665490022488,200
mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.25400740570681885,0.19891946146087308,0.2484072636972856,0.3224681704484538,200
mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.36821839649083243,0.27573585130490363,0.36677075331857867,0.46068520882676145,200
mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.2549368246140268,0.202800272883177,0.24929845720203125,0.32962913164712826,200
mean_wasserstein_distance,final_round_normalized_efficiency,0.23557440382778125,0.17606080408300637,0.2323833869403047,0.3143381322403431,200
mean_wasserstein_distance,final_total_contribution_rate,0.0806058039909988,0.06952175095376802,0.08043009274679468,0.09253947747391238,200
mean_wasserstein_distance,mean_round_normalized_efficiency,0.11308093863544208,0.09493686522025863,0.11328809111993753,0.13255071022359968,200
mean_wasserstein_distance,mean_total_contribution_rate,0.062364278288991846,0.05382734635363343,0.06210380040762257,0.07166397296573718,200
mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.01904723123281771,0.016402547537880428,0.019138702647060045,0.022289150735650895,200
mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.20137086358308698,0.16488622553060173,0.20041264053859262,0.24408216028126947,200
mean_wasserstein_distance,total_contribution_rate_decay_slope,0.08026680495357479,0.06975408185318657,0.08022239202564269,0.0926183543552928,200
rmse_of_config_means,final_round_normalized_efficiency,0.39182601108445625,0.18368647408989205,0.34358507759172485,0.7710357860087854,200
rmse_of_config_means,final_total_contribution_rate,0.0890888220928257,0.06830700988416939,0.08884467729619214,0.10755338187094532,200
rmse_of_config_means,mean_round_normalized_efficiency,0.12851335787543453,0.0910348926568265,0.12782321062877805,0.17980592993056735,200
rmse_of_config_means,mean_total_contribution_rate,0.067186535499286,0.05107197684808236,0.0664700091364942,0.08485149042126318,200
rmse_of_config_means,mean_within_round_contribution_rate_var,0.020431864275350514,0.015838184220606663,0.020351032228716197,0.025540771190713112,200
rmse_of_config_means,round_normalized_efficiency_decay_slope,0.2515430572713494,0.17863781545339258,0.24601436304847268,0.3386038982596298,200
rmse_of_config_means,total_contribution_rate_decay_slope,0.0835369125653261,0.06408555642804466,0.08217601146333409,0.10508119563390785,200
