style_source,eval_granularity,model,n_splits,r2_win_rate,rmse_win_rate,mae_win_rate,r2_rmse_win_rate,all3_win_rate,mean_delta_r2,mean_delta_rmse,mean_delta_mae,median_delta_r2,median_delta_rmse,median_delta_mae
oracle,config_treatment,linear,1,1.0,1.0,1.0,1.0,1.0,1.6195379380263324,-0.052629348840953605,-0.03423156402518254,1.6195379380263324,-0.052629348840953605,-0.03423156402518254
oracle,config_treatment,ridge,1,1.0,1.0,1.0,1.0,1.0,1.3483897028619252,-0.04637811693960012,-0.029866720205483727,1.3483897028619252,-0.04637811693960012,-0.029866720205483727
oracle,game,linear,1,1.0,1.0,1.0,1.0,1.0,0.17571389043161645,-0.020828924977964958,-0.022651297213977212,0.17571389043161645,-0.020828924977964958,-0.022651297213977212
oracle,game,ridge,1,1.0,1.0,1.0,1.0,1.0,0.16254082905210154,-0.01964713651565997,-0.024357780176629124,0.16254082905210154,-0.01964713651565997,-0.024357780176629124
synthetic,config_treatment,linear,1,1.0,1.0,1.0,1.0,1.0,0.26953440932469297,-0.007822775877398352,-0.007251989284153354,0.26953440932469297,-0.007822775877398352,-0.007251989284153354
synthetic,config_treatment,ridge,1,1.0,1.0,1.0,1.0,1.0,0.4711901328678829,-0.014881663605503498,-0.0009664346818908931,0.4711901328678829,-0.014881663605503498,-0.0009664346818908931
synthetic,game,linear,1,1.0,1.0,0.0,1.0,0.0,0.009854056499115416,-0.0011302649071064375,0.0005029605557559935,0.009854056499115416,-0.0011302649071064375,0.0005029605557559935
synthetic,game,ridge,1,1.0,1.0,1.0,1.0,1.0,0.05846889424362001,-0.006914916753082645,-0.0047091912780952705,0.05846889424362001,-0.006914916753082645,-0.0047091912780952705
