replacement,mean_cluster_l1,mean_cluster_js,top_cluster_match,mean_centroid_dist,mean_heter_err,mean_duplicate_rate
False,0.584034,0.118189,0.659875,0.698337,6.502922,0.0
True,0.591261,0.119958,0.661000,0.700831,6.833781,0.034031
