n_clusters,train_log_likelihood,bic,aic,avg_assignment_entropy,cluster_mass_min,cluster_mass_max,cluster_mass_std,selected_model
6,-138.90520769233177,1152596.5460526396,1102704.3449848038,0.016342955521381403,0.03502044989775051,0.2262385966356258,0.06680272794425558,True
8,-137.2157727781423,1161315.2315746434,1094790.2062161854,0.01258775230028666,0.03502044989775051,0.20492913490009584,0.050196902213843916,False
10,-135.6911678177227,1171323.5466549427,1088165.6970058624,0.011737907250774934,0.03502044989775051,0.1626219505305045,0.03863376090415225,False
12,-134.56062594155338,1184415.0113064162,1084624.3373667137,0.004109405604649687,0.03502044989775051,0.12844926453404445,0.02310827055573886,False
15,-133.30403130864286,1207488.6513344578,1082748.7409588217,0.004635400176313699,0.03119630314872721,0.10940944941457,0.021298974782924415,False
20,-131.26721538277187,1246394.6642569988,1080072.6931548072,0.003385577013530552,0.01278118609406953,0.08454843112659141,0.019054066063043256,False
