source,factor,factor_type,split,cluster,cluster_label,delta_prob
actual_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.015006847965703562
actual_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.013958119528294968
actual_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.020859802295422697
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_1_prob,strong_mildly_conditional_cooperator,0.026074390709282663
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_2_prob,opportunistic_free_rider,-0.11521855997018673
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_3_prob,fragile_high_cooperator,0.0021759487453238135
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_4_prob,near_unconditional_full_cooperator,0.015776822218359132
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_5_prob,unknown_or_sparse_info,0.03652260361470888
actual_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.03466879468251205
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_1_prob,strong_mildly_conditional_cooperator,-0.062274799420498794
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_2_prob,opportunistic_free_rider,-0.06722440701368357
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_3_prob,fragile_high_cooperator,0.11939739933702642
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_4_prob,near_unconditional_full_cooperator,0.05431457693034222
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_5_prob,unknown_or_sparse_info,-0.0028817722238774907
actual_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.04133099760930872
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_1_prob,strong_mildly_conditional_cooperator,0.031830045960313164
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_2_prob,opportunistic_free_rider,0.028411705178481877
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_3_prob,fragile_high_cooperator,0.007113602022931209
actual_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_4_prob,near_unconditional_full_cooperator,-0.10793963647180338
