target,n_benchmarks,ridge_config_mae,ridge_cluster_pred_mae,delta_abs_error_config_minus_cluster,delta_abs_error_ci_lo,delta_abs_error_ci_hi,delta_abs_error_perm_p,ridge_config_rmse,ridge_cluster_pred_rmse,delta_sq_error_config_minus_cluster,delta_sq_error_ci_lo,delta_sq_error_ci_hi,delta_sq_error_perm_p,ridge_config_corr,ridge_cluster_pred_corr,delta_corr_cluster_minus_config,delta_corr_ci_lo,delta_corr_ci_hi,delta_corr_boot_p
mean_contribution_rate,40,0.06845052980095215,0.06395643182172205,0.0044940979792300936,-0.008766752088478668,0.01774795321770029,0.5125743712814359,0.09073054736867718,0.08239690454713887,0.001442782346869461,-0.0004067581182836813,0.003357473413471625,0.15154242287885605,0.4333119147225824,0.5438619486264659,0.11055003390388346,-0.05737273717355872,0.29720455401237966,0.1928
normalized_efficiency,40,0.09444688225848989,0.07756987108764836,0.016877011170841554,-0.006081162864369379,0.03882565498980314,0.15879206039698016,0.11891586509572194,0.0961458421755203,0.00489696000382388,-0.00046015289286498466,0.010423449198047052,0.09394530273486326,0.44602844791693513,0.5620379496685471,0.11600950175161201,-0.14042013252555385,0.3414147439679647,0.3628
