cluster,mean_mass,top_share
cluster_10_prob,0.07385496463823896,0.07387525562372188
cluster_1_prob,0.11225106659205093,0.11221881390593047
cluster_2_prob,0.1626219505305045,0.1630879345603272
cluster_3_prob,0.1523715939272582,0.1520961145194274
cluster_4_prob,0.10494011372430895,0.10480572597137014
cluster_5_prob,0.07472639611228878,0.07489775051124745
cluster_6_prob,0.03502044989775051,0.03502044989775051
cluster_7_prob,0.05525249056100332,0.05521472392638037
cluster_8_prob,0.12224323307505783,0.1221881390593047
cluster_9_prob,0.10671774094153785,0.10659509202453987
