column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.32,1.13,0.44035771178391014,4.545390542415729e-06,3.45,3.48,1.6454482671904336,0.8059776671843955
QID118,100,0.21,2.28,0.3708369097299045,0.00014580850546388314,9.13,8.91,2.6670395572619463,2.7316478543179756
QID119,100,0.26,1.61,0.4246756001528351,1.0642876338714009e-05,7.73,7.82,2.162660398675668,2.0267214904865445
QID120,100,0.34,1.02,0.5077562157850101,6.96460681643618e-08,6.15,6.11,1.5708278072405009,1.3333791658789333
QID121,100,0.4,0.83,0.33468836421584774,0.0006652438551444802,4.47,4.46,1.1528659939472585,0.8651011501552868
QID122,100,0.56,0.53,0.1639190640472954,0.10318078554093853,2.9,2.87,0.7549834435270749,0.5413871073455666
QID224,100,0.81,0.25,0.5830976038473934,1.9452552950921946e-10,3.8,3.79,0.7483314773547883,0.637102817447859
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.87,0.13,0.07647191129018746,0.4495215007441555,1.05,1.1,0.21794494717703372,0.3
QID229,100,0.64,0.36,0.4677071733467428,9.281382257906164e-07,1.28,1.64,0.44899888641287283,0.48000000000000004
QID230,100,0.61,0.39,,,1.61,2.0,0.4877499359302879,0.0
QID231,100,0.76,0.34,0.5789595855234738,2.7950199956784997e-10,4.08,3.88,0.9019977827023744,0.8034923770640267
