column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.23,1.25,0.37316810821747715,0.0001313809082723903,3.45,3.26,1.6454482671904336,0.6726068688320095
QID118,100,0.15,2.64,0.45615549009491196,1.8464328290270263e-06,9.13,7.49,2.6670395572619463,2.5039768369535693
QID119,100,0.13,1.79,0.39327154320480906,5.1739737860630086e-05,7.73,7.04,2.162660398675668,1.87040102651811
QID120,100,0.32,1.09,0.365167471231163,0.0001872451530999071,6.15,5.98,1.5708278072405009,1.0860939185908371
QID121,100,0.42,0.8,0.27074371262324987,0.00644028176542211,4.47,4.29,1.1528659939472585,0.6526101439603892
QID122,100,0.46,0.65,-0.042469883604441025,0.6748151695369342,2.9,2.83,0.7549834435270749,0.5301886456724625
QID224,100,0.69,0.36,0.5275742894181512,1.7012592936454974e-08,3.8,3.86,0.7483314773547883,0.6636264009214822
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.84,0.16,-0.08065374517945532,0.4250457644721418,1.05,1.11,0.21794494717703372,0.3128897569432403
QID229,100,0.55,0.45,0.3494673095123956,0.0003655345359896607,1.28,1.71,0.44899888641287283,0.4537620521815371
QID230,100,0.64,0.36,0.2199415970349059,0.027894802430266524,1.61,1.97,0.4877499359302879,0.1705872210923198
QID231,100,0.75,0.37,0.46414155155677017,1.150763818367356e-06,4.08,3.83,0.9019977827023744,0.7490660852021002
