column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.2,1.26,0.4293032688547989,8.316298231301667e-06,3.45,3.07,1.6454482671904336,0.7906326580656784
QID118,100,0.13,2.83,0.3388080040439736,0.0005646393703278207,9.13,7.24,2.6670395572619463,2.366938951472978
QID119,100,0.08,1.87,0.37035797890763134,0.00014894878716554576,7.73,7.02,2.162660398675668,1.891983086605163
QID120,100,0.35,1.11,0.2934196581549111,0.003048423787149248,6.15,5.92,1.5708278072405009,1.0457533169921096
QID121,100,0.41,0.85,0.21136540408221088,0.034772968797682775,4.47,4.26,1.1528659939472585,0.7296574538781879
QID122,100,0.51,0.55,0.21291989366360628,0.033429858595736384,2.9,2.81,0.7549834435270749,0.5038849074937649
QID224,100,0.66,0.39,0.45380556395113525,2.117268428823783e-06,3.8,3.77,0.7483314773547883,0.630158710167526
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.9,0.1,-0.05263157894736849,0.6030221961049662,1.05,1.05,0.21794494717703372,0.21794494717703375
QID229,100,0.66,0.34,0.41816751956320775,1.4965125166822585e-05,1.28,1.56,0.44899888641287283,0.4963869458396343
QID230,100,0.65,0.35,0.2552859968171782,0.01036562776988821,1.61,1.96,0.4877499359302879,0.19595917942265428
QID231,100,0.71,0.43,0.4983145064264187,1.3216490674750324e-07,4.08,3.79,0.9019977827023744,0.6825686778632609
