domain,feature_name,feature_label,metric_label,model_name,wd_diff_true_minus_false,diff_stderr,true_num_treatments,false_num_treatments
macro,opt_out_default,Opt-out default,Final-round contrib,gpt-5-mini baseline,0.03199066699934716,0.07687475046010359,16,24
macro,opt_out_default,Opt-out default,Final-round contrib,gpt-5-mini twin,0.0028310584480089607,0.057312835363054315,16,24
macro,opt_out_default,Opt-out default,Final-round contrib,gpt-5.1 baseline,-0.025007585348210293,0.07511603414817854,16,24
macro,opt_out_default,Opt-out default,Final-round contrib,gpt-5.1 twin,0.03429126653549869,0.06219229058537253,16,24
macro,opt_out_default,Opt-out default,Final-round eff,gpt-5-mini baseline,0.16799706243167012,0.14436236135267388,16,24
macro,opt_out_default,Opt-out default,Final-round eff,gpt-5-mini twin,0.13637835536706827,0.12983109411723728,16,24
macro,opt_out_default,Opt-out default,Final-round eff,gpt-5.1 baseline,0.10222125897185935,0.1439603624896399,16,24
macro,opt_out_default,Opt-out default,Final-round eff,gpt-5.1 twin,0.16536890692447564,0.1376838186993555,16,24
macro,opt_out_default,Opt-out default,First-round contrib,gpt-5-mini baseline,-0.01528230863414523,0.020906546349527384,16,24
macro,opt_out_default,Opt-out default,First-round contrib,gpt-5-mini twin,0.009913348763403593,0.012248212931693203,16,24
macro,opt_out_default,Opt-out default,First-round contrib,gpt-5.1 baseline,0.04901655722242346,0.024172256971522723,16,24
macro,opt_out_default,Opt-out default,First-round contrib,gpt-5.1 twin,0.03379892339527758,0.017714519322451622,16,24
macro,opt_out_default,Opt-out default,First-round eff,gpt-5-mini baseline,-0.009785204080041632,0.02436304707858861,16,24
macro,opt_out_default,Opt-out default,First-round eff,gpt-5-mini twin,0.01624055054670691,0.018966671365314894,16,24
macro,opt_out_default,Opt-out default,First-round eff,gpt-5.1 baseline,0.022299862835863576,0.022686384995703756,16,24
macro,opt_out_default,Opt-out default,First-round eff,gpt-5.1 twin,0.024946303605631562,0.020619380469636725,16,24
macro,opt_out_default,Opt-out default,Mean contrib,gpt-5-mini baseline,-0.07967081330530418,0.045080791238526444,16,24
macro,opt_out_default,Opt-out default,Mean contrib,gpt-5-mini twin,-0.03834186617452348,0.03331706915355119,16,24
macro,opt_out_default,Opt-out default,Mean contrib,gpt-5.1 baseline,0.027018789470087817,0.03745055736050486,16,24
macro,opt_out_default,Opt-out default,Mean contrib,gpt-5.1 twin,0.008628197556132644,0.024340220776575546,16,24
macro,opt_out_default,Opt-out default,Mean eff,gpt-5-mini baseline,-0.06446367824420746,0.056106194060290084,16,24
macro,opt_out_default,Opt-out default,Mean eff,gpt-5-mini twin,-0.024815775658338812,0.042521487314540564,16,24
macro,opt_out_default,Opt-out default,Mean eff,gpt-5.1 baseline,0.02095571004503094,0.04441127161649786,16,24
macro,opt_out_default,Opt-out default,Mean eff,gpt-5.1 twin,0.014026175829989163,0.03411730985733677,16,24
macro,punishment_enabled,Punishment enabled,Final-round contrib,gpt-5-mini baseline,-0.0066801336341607565,0.07422880383452433,20,20
macro,punishment_enabled,Punishment enabled,Final-round contrib,gpt-5-mini twin,-0.024618658761782264,0.05637555263752958,20,20
macro,punishment_enabled,Punishment enabled,Final-round contrib,gpt-5.1 baseline,-0.07910263716584598,0.07803039826855665,20,20
macro,punishment_enabled,Punishment enabled,Final-round contrib,gpt-5.1 twin,-0.008643244443343578,0.061478930902526874,20,20
