domain,feature_name,feature_label,model_family,baseline,twin,twin_minus_baseline_abs_diff,twin_reduces_dependence
macro,ALL,All features,gpt-5-mini,0.06404638926110832,0.049462864868851854,-0.01458352439225647,True
macro,ALL,All features,gpt-5.1,0.052628360890840796,0.048004612124479144,-0.004623748766361652,True
macro,all_or_nothing,All-or-nothing,gpt-5-mini,0.04482382124044667,0.05245559075396932,0.0076317695135226515,False
macro,all_or_nothing,All-or-nothing,gpt-5.1,0.02443332045367747,0.03451984345019596,0.01008652299651849,False
macro,chat_enabled,Chat enabled,gpt-5-mini,0.018427569475831906,0.0239873165476987,0.005559747071866794,False
macro,chat_enabled,Chat enabled,gpt-5.1,0.04198004188782409,0.01963865191454245,-0.02234138997328164,True
macro,opt_out_default,Opt-out default,gpt-5-mini,0.061531622282452625,0.03808682582634167,-0.02344479645611095,True
macro,opt_out_default,Opt-out default,gpt-5.1,0.04108662731557924,0.04684329564116755,0.005756668325588313,False
macro,punishment_enabled,Punishment enabled,gpt-5-mini,0.05737886255440345,0.035040994677590385,-0.022337867876813064,True
macro,punishment_enabled,Punishment enabled,gpt-5.1,0.042753221042976276,0.025318367276787546,-0.01743485376618873,True
macro,reward_enabled,Reward enabled,gpt-5-mini,0.03765714530184731,0.02810981549350261,-0.009547329808344697,True
macro,reward_enabled,Reward enabled,gpt-5.1,0.049826305581343065,0.0305539383720304,-0.019272367209312666,True
macro,show_actor_id,Show actor IDs,gpt-5-mini,0.026324383489473635,0.022135883320810613,-0.004188500168663022,True
macro,show_actor_id,Show actor IDs,gpt-5.1,0.03848997154857737,0.0458904914757145,0.007400519927137132,False
macro,show_n_rounds,Show # rounds,gpt-5-mini,0.14037951636766488,0.07801409921337892,-0.062365417154285965,True
macro,show_n_rounds,Show # rounds,gpt-5.1,0.09519148628171407,0.07042861685764663,-0.02476286942406744,True
macro,show_other_summaries,Show outcome summaries,gpt-5-mini,0.12584819337674616,0.11787239311752264,-0.007975800259223523,True
macro,show_other_summaries,Show outcome summaries,gpt-5.1,0.08726591301503478,0.11084369200774812,0.023577778992713336,False
micro,ALL,All features,gpt-5-mini,0.05526457422992825,0.03799849205768115,-0.017266082172247094,True
micro,ALL,All features,gpt-5.1,0.029076642985027462,0.026920774833263553,-0.0021558681517639088,True
micro,all_or_nothing,All-or-nothing,gpt-5-mini,0.05640627450912345,0.057296311306797576,0.000890036797674125,False
micro,all_or_nothing,All-or-nothing,gpt-5.1,0.018638129036964414,0.02521140983370941,0.006573280796744997,False
micro,chat_enabled,Chat enabled,gpt-5-mini,0.020137290545958888,0.010816182334455878,-0.00932110821150301,True
micro,chat_enabled,Chat enabled,gpt-5.1,0.014996591329291292,0.012605208066296877,-0.002391383262994415,True
micro,opt_out_default,Opt-out default,gpt-5-mini,0.0442444096897683,0.02266725055762959,-0.02157715913213871,True
micro,opt_out_default,Opt-out default,gpt-5.1,0.012254044822254192,0.008447479755595705,-0.0038065650666584874,True
micro,punishment_enabled,Punishment enabled,gpt-5-mini,0.09873090662885314,0.045437221125258886,-0.05329368550359426,True
micro,punishment_enabled,Punishment enabled,gpt-5.1,0.04807256872593252,0.026477947007500568,-0.02159462171843195,True
micro,reward_enabled,Reward enabled,gpt-5-mini,0.04416321996121392,0.024940809764782607,-0.01922241019643131,True
micro,reward_enabled,Reward enabled,gpt-5.1,0.05321219383943001,0.020203563355438863,-0.03300863048399115,True
micro,show_actor_id,Show actor IDs,gpt-5-mini,0.020676523550810344,0.028696057987011702,0.008019534436201358,False
micro,show_actor_id,Show actor IDs,gpt-5.1,0.014335060652953547,0.024442570435610673,0.010107509782657126,False
micro,show_n_rounds,Show # rounds,gpt-5-mini,0.06784940440664801,0.03534789516181959,-0.03250150924482842,True
micro,show_n_rounds,Show # rounds,gpt-5.1,0.034511478042923656,0.041935841874865355,0.007424363831941699,False
micro,show_other_summaries,Show outcome summaries,gpt-5-mini,0.08990856454704992,0.07878620822369337,-0.01112235632335655,True
micro,show_other_summaries,Show outcome summaries,gpt-5.1,0.03659307743047006,0.056042178337090985,0.019449100906620928,False
