column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.11,2.09,-0.0672128566465463,0.5064150214216748,3.45,1.82,1.6454482671904336,0.8047359815492282
QID118,100,0.07,3.96,-0.08093287975985183,0.4234397909845203,9.13,5.51,2.6670395572619463,1.1873921003611234
QID119,100,0.02,3.19,-0.019219619885909048,0.8494679463607399,7.73,4.82,2.162660398675668,1.4098226838861687
QID120,100,0.14,2.1,0.057566633096824305,0.5694234109533303,6.15,4.23,1.5708278072405009,0.8349251463454672
QID121,100,0.25,1.26,0.1447501059953137,0.15075159431950225,4.47,3.35,1.1528659939472585,0.57227615711298
QID122,100,0.26,0.9,0.06055025486018703,0.5495468039685878,2.9,2.22,0.7549834435270749,0.4812483766206386
QID224,100,0.25,0.94,-0.16452091227913634,0.10190425626649828,3.8,3.02,0.7483314773547883,0.3736308338453881
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.75,0.25,-0.11470786693528096,0.25578386968164935,1.05,1.2,0.21794494717703372,0.4
QID229,100,0.3,0.7,-0.06239207382726214,0.5374472940131205,1.28,1.92,0.44899888641287283,0.2712931993250107
QID230,100,0.61,0.39,,,1.61,2.0,0.4877499359302879,0.0
QID231,100,0.14,1.21,-0.06501272443856546,0.5204616770658672,4.08,3.05,0.9019977827023744,0.40926763859362253
