dimension,category,pgg_count,twin_count,pgg_pct,twin_pct,pct_point_diff_pgg_minus_twin
age,18-29,1230,388,33.87,18.85,15.02
age,30-49,1810,735,49.83,35.71,14.12
age,50-64,509,658,14.01,31.97,-17.96
age,65+,83,277,2.29,13.46,-11.17
gender,man,1704,1014,46.83,49.27,-2.44
gender,woman,1863,1044,51.2,50.73,0.47
gender,non_binary,58,0,1.59,0.0,1.59
gender,unknown,14,0,0.38,0.0,0.38
education,high_school,1086,272,29.84,13.22,16.62
education,bachelor,1469,735,40.37,35.71,4.66
education,master,774,313,21.27,15.21,6.06
education,other,301,738,8.27,35.86,-27.59
education,unknown,9,0,0.25,0.0,0.25
