metric,value,notes
pgg_participants,3639.0,
twin_participants,2058.0,
pgg_mean_age,36.4008,
pgg_median_age,34.0,
twin_mean_age_midpoint,46.7259,Approximate: Twin age is reported in brackets and mapped to bracket midpoints.
twin_median_age_midpoint,40.0,Approximate: Twin age is reported in brackets and mapped to bracket midpoints.
twin_less_than_high_school_count,17.0,
twin_less_than_high_school_pct,0.826,
