bootstrap_iter,metric_family,metric,distance_kind,n_treatments,mean_value,median_value,score
0,distribution_distance,final_surplus_ratio,wasserstein_1d,6,0.1512024754695054,0.1017605299158631,0.1512024754695054
0,distribution_distance,final_total_surplus,wasserstein_1d,6,1.6107954545454553,1.508901515151516,1.6107954545454553
0,distribution_distance,mean_player_final_surplus,wasserstein_1d,6,0.5369318181818185,0.502967171717172,0.5369318181818185
0,distribution_distance,proposer_net_surplus,wasserstein_1d,6,0.2593434343434344,0.27241161616161613,0.2593434343434344
0,distribution_distance,trade_ratio,wasserstein_1d,6,0.06958332973106937,0.0551939701245256,0.06958332973106937
0,distribution_distance,acceptance_rate,wasserstein_1d,6,0.0318462401795735,0.03303872053872048,0.0318462401795735
0,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,6,0.22442133213865378,0.23507853134949913,0.22442133213865378
0,distribution_distance,accepted_trade_ratio,wasserstein_1d,6,0.12636873965481685,0.11146734226799583,0.12636873965481685
0,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,6,0.3709116269919486,0.3958576295720385,0.3709116269919486
0,distribution_distance,declined_trade_ratio,wasserstein_1d,6,0.06230621879949399,0.05535561085140486,0.06230621879949399
1,distribution_distance,final_surplus_ratio,wasserstein_1d,6,0.06320898267683521,0.057761978668745384,0.06320898267683521
1,distribution_distance,final_total_surplus,wasserstein_1d,6,1.5829545454545457,1.7869318181818181,1.5829545454545457
1,distribution_distance,mean_player_final_surplus,wasserstein_1d,6,0.5276515151515153,0.5956439393939393,0.5276515151515153
1,distribution_distance,proposer_net_surplus,wasserstein_1d,6,0.21005892255892258,0.20138888888888895,0.21005892255892258
1,distribution_distance,trade_ratio,wasserstein_1d,6,0.0846493107624644,0.08493741983325323,0.0846493107624644
1,distribution_distance,acceptance_rate,wasserstein_1d,6,0.05765993265993268,0.06250000000000006,0.05765993265993268
1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,6,0.20355235973393027,0.19498685275080907,0.20355235973393027
1,distribution_distance,accepted_trade_ratio,wasserstein_1d,6,0.10434766221254159,0.08633554959787015,0.10434766221254159
1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,6,0.3154611495867339,0.3293329963581044,0.3154611495867339
1,distribution_distance,declined_trade_ratio,wasserstein_1d,6,0.07505885799414871,0.07432549597828414,0.07505885799414871
2,distribution_distance,final_surplus_ratio,wasserstein_1d,6,0.08485861281865448,0.07210014289377438,0.08485861281865448
2,distribution_distance,final_total_surplus,wasserstein_1d,6,1.5196969696969695,1.5316287878787884,1.5196969696969695
2,distribution_distance,mean_player_final_surplus,wasserstein_1d,6,0.5065656565656566,0.5105429292929294,0.5065656565656566
2,distribution_distance,proposer_net_surplus,wasserstein_1d,6,0.13536054994388327,0.1461069023569023,0.13536054994388327
2,distribution_distance,trade_ratio,wasserstein_1d,6,0.0658672817237632,0.058569658222436025,0.0658672817237632
2,distribution_distance,acceptance_rate,wasserstein_1d,6,0.05352132435465772,0.053030303030303066,0.05352132435465772
2,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,6,0.2005028188137096,0.20571504712870936,0.2005028188137096
