dataset_name,n_rows,mean_tvd_baseline,mean_tvd_twin,se_tvd_baseline,se_tvd_twin,weighted_mean_tvd_baseline,weighted_mean_tvd_twin,mean_normalized_predicted_entropy_baseline,mean_normalized_predicted_entropy_twin,mean_predicted_entropy_baseline,mean_predicted_entropy_twin,mean_jsd_baseline,mean_jsd_twin,modal_match_baseline,modal_match_twin
ChaosNLI,500,0.3791,0.2531990303570894,0.0092159778915204,0.006201044753497,0.3791,0.2531990303570894,0.801043143094455,0.8346096674755759,0.7474796389882733,0.7900151466722951,0.1238501912928299,0.0652309908935923,0.482,0.734
Choices13k,500,0.1748573201131232,0.2198706934632067,0.0053959837411546,0.0066892108474491,0.1712755300188934,0.2179781504762113,1.0,0.9442618318056478,0.6931471805599454,0.6545124264264541,0.0264711368679467,0.0391072281529658,0.46,0.46
ConspiracyCorr,1,0.2734782608695651,0.3010258152173912,0.0,0.0,0.2734782608695651,0.3010258152173912,0.8319583487380806,0.7883047711006518,1.3389853080251377,1.2687275851620743,0.0511232060074171,0.0533810512337767,0.0,0.0
DICES,247,0.170838287809909,0.1522151487079551,0.0151346379737386,0.0138961155817541,0.171191135734072,0.1516553230320868,0.3679882762792434,0.3388162020320122,0.4042764424061722,0.3722276431522255,0.072075531459633,0.0616942726927105,0.902834008097166,0.9068825910931174
GlobalOpinionQA,23,0.1544822458445148,0.151482586370718,0.0220465921472019,0.0216768394020757,0.1544822458445148,0.151482586370718,0.8746057502768514,0.8672541373354808,0.9576502756458612,0.9460782089381692,0.0226221638752748,0.0231986712114381,0.6086956521739131,0.7391304347826086
ISSP,17,0.1674691987997246,0.1830361489499612,0.0123459103102247,0.015667551819963,0.1709726578148011,0.175689772487428,0.8374103759289016,0.8348518748714113,1.530934593611648,1.5210439719077933,0.0263611847737118,0.0284616951483743,0.7647058823529411,0.6470588235294118
Jester,136,0.4302891982004221,0.4864334918048521,0.0064333461726295,0.009609193264097,0.4463227243553441,0.4468398265790259,0.5320772061209869,0.6911406842646632,1.2251530431361046,1.591410236749518,0.1702852007151383,0.1662092226303235,0.6838235294117647,0.0514705882352941
MoralMachine,72,0.4191099894886455,0.3704119838042073,0.0273311166610701,0.0261596796683402,0.420794041906738,0.3677350653982252,0.8010198251304654,0.8824713161989682,0.5552246333618025,0.6116825047483387,0.1275794182881372,0.1021442181098644,0.1666666666666666,0.1388888888888889
NumberGame,500,0.2262573119690766,0.2180502830604852,0.0083975432475513,0.0063712887242818,0.2261951306202238,0.2181157810556246,0.7219280948873621,0.8786606927963235,0.5004024235381879,0.6090411818806195,0.0567977695630307,0.0493545324362208,0.698,0.698
OSPsychBig5,40,0.1400090216519646,0.2209507854068016,0.0115848127432119,0.0188712281689774,0.1400090216519647,0.2209507854068016,0.9381479925260808,0.8430687183454275,1.5098909466454171,1.356866758092357,0.0185292369598933,0.0422230933250131,0.5,0.35
OSPsychMACH,1,0.2493131582233693,0.2343131582233693,0.0,0.0,0.2493131582233693,0.2343131582233693,0.824385224128039,0.8314870057010854,1.326796834162149,1.3382267106716357,0.041343770814082,0.0395877891564307,1.0,1.0
OSPsychMGKT,111,0.1565548522869224,0.148608343845862,0.0173377062323305,0.016860895202351,0.1519997438872185,0.1440296967488488,0.2790128235908415,0.3653465900605723,0.1933969520120611,0.2532389588276759,0.0439333058346396,0.0387105812106962,0.8918918918918919,0.90990990990991
OSPsychRWAS,22,0.3198053478859624,0.2051823589012337,0.0180246980321834,0.0190861614909064,0.3198053084535214,0.2051813709391526,0.830706721879701,0.8589642572832534,1.8252492258724828,1.8873373771561168,0.0739355331774648,0.0334749263021436,0.4545454545454545,0.7272727272727273
OpinionQA,310,0.1647784347615428,0.1550833332887857,0.005187751380952,0.0049035178403307,0.1658319212298212,0.1580933475030823,0.80442393685576,0.8031665339850499,1.1634762388618896,1.155166194420992,0.0297575201158949,0.0272652340832025,0.6516129032258065,0.6967741935483871
TISP,10,0.1462249840057196,0.1964038875010476,0.0293195176329722,0.0394775744820427,0.1462393724402219,0.1964195629172162,0.8680468539625613,0.7541351480513201,1.4331647638463632,1.252474737968016,0.020122554053649,0.0347484254522564,0.7,0.7
WisdomOfCrowds,114,0.28286829336635,0.2696240904453131,0.0200947170472361,0.019851498251864,0.2830542688659089,0.2696959521169946,0.5812247552289999,0.5496265704576416,0.925894981517414,0.8759210276515279,0.0893494719593223,0.081323034476437,0.6403508771929824,0.6140350877192983
