simbench_row_id,dataset_name,group_size,tvd_baseline,tvd_twin,jsd_baseline,jsd_twin,predicted_entropy_baseline,predicted_entropy_twin,normalized_predicted_entropy_baseline,normalized_predicted_entropy_twin,modal_match_baseline,modal_match_twin
simbenchpop_001765,ChaosNLI,100,0.7,0.16375,0.2816624938755599,0.0392703670379282,0.8018185525433373,0.7429602630751064,0.7298466991620975,0.6762715752759565,0.0,1
simbenchpop_001766,ChaosNLI,100,0.0999999999999999,0.108125,0.0264199737309225,0.0317315347721868,0.8018185525433373,0.8372085811049782,0.7298466991620975,0.7620600913903471,1.0,1
simbenchpop_001767,ChaosNLI,100,0.3099999999999999,0.21140625,0.0669055448897762,0.0278752814554607,0.8018185525433373,0.9785566784488472,0.7298466991620975,0.8907206742018053,1.0,1
simbenchpop_001768,ChaosNLI,100,0.48,0.22078125,0.1571473421540506,0.0590174295564099,0.8018185525433373,0.9013620119679986,0.7298466991620975,0.8204550606845611,0.0,1
simbenchpop_001769,ChaosNLI,100,0.3399999999999999,0.20015625,0.1196694001153542,0.0615960694007048,0.6474466390346325,0.5141636166460134,0.9340680553754912,0.7417812999407376,1.0,1
simbenchpop_001770,ChaosNLI,100,0.65,0.5484375,0.3068577088686985,0.2431861863199578,0.6474466390346325,0.6884474305708865,0.9340680553754912,0.993219693997367,0.0,0
simbenchpop_001771,ChaosNLI,100,0.37,0.3546875,0.1403988235332157,0.116032644031408,0.8018185525433373,0.8973246799968853,0.7298466991620975,0.8167801227535391,1.0,0
simbenchpop_001772,ChaosNLI,100,0.37,0.22375,0.0896477225813282,0.0311294167358569,0.8018185525433373,0.8973461001347196,0.7298466991620975,0.8167996202032357,0.0,1
simbenchpop_001773,ChaosNLI,100,0.3799999999999999,0.36671875,0.0785914032722065,0.0723562847124946,0.8018185525433373,0.8343294909615417,0.7298466991620975,0.7594394306047966,0.0,0
simbenchpop_001774,ChaosNLI,100,0.3,0.24359375,0.0641268546925294,0.0396587328708297,0.8018185525433373,0.8996706405276581,0.7298466991620975,0.8189155080527669,1.0,1
simbenchpop_001775,ChaosNLI,100,0.14,0.1720312499999999,0.0330569522393126,0.0380015273919549,0.8018185525433373,0.8605303032816073,0.7298466991620975,0.7832884377480079,1.0,1
simbenchpop_001776,ChaosNLI,100,0.3399999999999999,0.21265625,0.1196694001153542,0.0664191657709444,0.6474466390346325,0.5302493882813463,0.9340680553754912,0.7649881629079047,1.0,1
simbenchpop_001777,ChaosNLI,100,0.22,0.27015625,0.0554324867796122,0.0709231894584831,0.8018185525433373,0.8663187648177335,0.7298466991620975,0.7885573225000108,1.0,1
simbenchpop_001778,ChaosNLI,100,0.74,0.2107812499999999,0.3235973049195362,0.043003213037626,0.8018185525433373,0.7550991878650755,0.7298466991620975,0.6873209007888592,0.0,1
simbenchpop_001779,ChaosNLI,100,0.66,0.4278125,0.2715770138215723,0.1287692522172288,0.8018185525433373,1.0336424219295144,0.7298466991620975,0.9408618787458124,0.0,0
simbenchpop_001780,ChaosNLI,100,0.07,0.14125,0.0031821911921764,0.0121301729808196,0.8018185525433373,0.8906252326527112,0.7298466991620975,0.8106820229841509,1.0,1
simbenchpop_001781,ChaosNLI,100,0.4499999999999999,0.1446875,0.1158858576173431,0.0304340504606274,0.8018185525433373,0.7859674455270473,0.7298466991620975,0.7154183997704104,0.0,1
simbenchpop_001782,ChaosNLI,100,0.22,0.32296875,0.043341877661771,0.0547187264166719,0.8018185525433373,0.9945472469257162,0.7298466991620975,0.905275916885514,1.0,0
simbenchpop_001783,ChaosNLI,100,0.03,0.107376644736842,0.0005051204810674,0.0074151419726956,0.6474466390346325,0.5174117422669975,0.9340680553754912,0.7464673546663158,1.0,1
simbenchpop_001784,ChaosNLI,100,0.3399999999999999,0.1947697368421052,0.1196694001153542,0.0595398298922428,0.6474466390346325,0.5069440063393954,0.9340680553754912,0.731365603954229,1.0,1
simbenchpop_001785,ChaosNLI,100,0.35,0.0322368421052631,0.0627411886603171,0.0006010710430618,0.6474466390346325,0.6357514318455308,0.9340680553754912,0.9171954379616052,0.0,1
simbenchpop_001786,ChaosNLI,100,0.14,0.005017361111111,0.010095097062598,1.2594891980414764e-05,0.6474466390346325,0.6926960704529384,0.9340680553754912,0.9993491856857262,1.0,1
simbenchpop_001787,ChaosNLI,100,0.28,0.605625,0.0754646567429928,0.2395399927675464,0.8018185525433373,0.8517578661390535,0.7298466991620975,0.7753034213477372,1.0,0
simbenchpop_001788,ChaosNLI,100,0.1499999999999999,0.2382812499999999,0.0145051072261044,0.029089517321214,0.8018185525433373,0.9623604440345566,0.7298466991620975,0.8759782263142746,1.0,0
simbenchpop_001789,ChaosNLI,100,0.1499999999999999,0.22734375,0.0124490835481422,0.0273664284289283,0.8018185525433373,0.9616672865525306,0.7298466991620975,0.8753472871839046,1.0,0
simbenchpop_001790,ChaosNLI,100,0.49,0.0928124999999999,0.1435116022391956,0.0107336734722659,0.8018185525433373,0.9697123356801928,0.7298466991620975,0.8826702064800427,0.0,1
simbenchpop_001791,ChaosNLI,100,0.65,0.325251279239766,0.3068577088686985,0.1286159834088379,0.6474466390346325,0.6307645413510412,0.9340680553754912,0.9100008757757488,0.0,1
simbenchpop_001792,ChaosNLI,100,0.3199999999999999,0.1739062499999999,0.0951285610545926,0.0405538490036406,0.6474466390346325,0.5057701825658663,0.9340680553754912,0.7296721342172809,1.0,1
simbenchpop_001793,ChaosNLI,100,0.84,0.2979687499999999,0.4397133907483707,0.0792855704472237,0.8018185525433373,0.9003647022982196,0.7298466991620975,0.819547270302034,0.0,1
simbenchpop_001794,ChaosNLI,100,0.3299999999999999,0.29125,0.0779401899435344,0.0503581074093892,0.8018185525433373,0.9249326055699736,0.7298466991620975,0.8419099395759583,1.0,0
simbenchpop_001795,ChaosNLI,100,0.6499999999999999,0.13328125,0.2668481151853608,0.0210575216460508,0.8018185525433373,0.7739389464024016,0.7298466991620975,0.7044695880297113,0.0,1
simbenchpop_001796,ChaosNLI,100,0.26,0.2567187499999999,0.0401409429548649,0.0403360464120233,0.8018185525433373,0.7727525993387576,0.7298466991620975,0.703389728395989,0.0,1
