dataset_name,n_rows,mean_tvd_baseline,mean_tvd_twin,mean_delta_twin_minus_baseline,delta_ci95_low,delta_ci95_high,paired_ttest_pvalue,wilcoxon_pvalue,paired_ttest_qvalue_bh,wilcoxon_qvalue_bh,significance_label
ChaosNLI,500,0.37910000000000005,0.25319903035708946,-0.12590096964291056,-0.14898846162464321,-0.10212716706584904,2.4125709861566147e-23,4.382221228295507e-22,3.3775993806192607e-22,6.135109719613709e-21,twin_better
OSPsychRWAS,22,0.31980534788596243,0.2051823589012337,-0.11462298898472877,-0.1312307393365142,-0.09731822207933,2.029567082480278e-11,4.76837158203125e-07,9.471313051574631e-11,1.33514404296875e-06,twin_better
MoralMachine,72,0.41910998948864553,0.37041198380420737,-0.048698005684438196,-0.06761336689242772,-0.028291892956695375,6.242812328400889e-06,1.4550643522868232e-07,1.7479874519522492e-05,5.092725233003882e-07,twin_better
DICES,247,0.17083828780990903,0.1522151487079551,-0.018623139101953883,-0.029827115168820917,-0.007972532249631327,0.0009939053849121217,3.677566415583187e-13,0.0019878107698242434,2.574296490908231e-12,twin_better
OSPsychMACH,1,0.2493131582233693,0.2343131582233693,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,,,,,not_significant
WisdomOfCrowds,114,0.28286829336635005,0.26962409044531316,-0.013244202921036851,-0.03200553495465406,0.005759508598452366,0.17233703837493752,0.2981157832479908,0.20105987810409376,0.34780174712265594,not_significant
OpinionQA,310,0.16477843476154286,0.15508333328878574,-0.009695101472757083,-0.017148919796958095,-0.0021150909333945977,0.011807796578810701,0.00871354130296489,0.020663644012918727,0.013554397582389828,twin_better
NumberGame,500,0.22625731196907664,0.21805028306048524,-0.008207028908591407,-0.016767813982892118,0.00043829436188811267,0.061333699116670144,0.0838431177953128,0.09540797640370911,0.11738036491343791,not_significant
OSPsychMGKT,111,0.15655485228692248,0.14860834384586208,-0.007946508441060374,-0.01696105370674079,0.00033744063731858245,0.06976538672885942,0.0017271989726215806,0.09767154142040319,0.0030225982020877663,not_significant
GlobalOpinionQA,23,0.1544822458445148,0.15148258637071807,-0.0029996594737967254,-0.029117563398486056,0.025875055854623998,0.834991972259446,0.5009052753448486,0.834991972259446,0.5009052753448486,not_significant
ISSP,17,0.16746919879972463,0.1830361489499612,0.015566950150236554,-0.023309767725438513,0.05433515540245784,0.4551586830189246,0.4306793212890625,0.49017088940499576,0.46380849984975964,not_significant
ConspiracyCorr,1,0.2734782608695651,0.3010258152173912,0.027547554347826075,0.027547554347826075,0.027547554347826075,,,,,not_significant
Choices13k,500,0.17485732011312324,0.2198706934632067,0.04501337335008346,0.034651922785078525,0.055329307342135405,1.7206777253708875e-16,7.600050230626992e-08,1.2044744077596212e-15,3.54669010762593e-07,baseline_better
TISP,10,0.14622498400571965,0.19640388750104767,0.050178903495328,-0.007811217376015483,0.11535986623697858,0.16548836867755182,0.130859375,0.20105987810409376,0.16654829545454544,not_significant
Jester,136,0.43028919820042216,0.4864334918048521,0.056144293604429886,0.03458531293617004,0.07774270485071882,1.1277297533911086e-06,4.390703615571957e-06,3.94705413686888e-06,1.0244975103001232e-05,baseline_better
OSPsychBig5,40,0.14000902165196466,0.22095078540680166,0.08094176375483701,0.036660790654515274,0.12268291963087397,0.0006922309747272365,0.0006754665791959269,0.001615205607696885,0.0013509331583918538,baseline_better
