task_name,n_overlap_rows,baseline_mean_tvd,twin_mean_tvd,raw_mean_tvd,raw_available,gold_distribution_json,baseline_distribution_json,twin_distribution_json,raw_distribution_json,plot_file
ChaosNLI,500,0.3791,0.2531990303570894,,False,"{""A"": 0.41536, ""B"": 0.2938, ""C"": 0.29084}","{""A"": 0.35840000000000005, ""B"": 0.188, ""C"": 0.45359999999999995}","{""A"": 0.48655269896621883, ""B"": 0.32039573853378117, ""C"": 0.1930515625}",,chaosnli_distribution_diagnosis.png
Choices13k,500,0.1748573201131232,0.2198706934632067,0.216203296758315,True,"{""A"": 0.4705788283192, ""B"": 0.5294211716807999}","{""A"": 0.5, ""B"": 0.5}","{""A"": 0.6378265625, ""B"": 0.3621734375}","{""A"": 0.516131195335277, ""B"": 0.48386880466472304}",choices13k_distribution_diagnosis.png
ConspiracyCorr,1,0.2734782608695651,0.3010258152173912,,False,"{""A"": 0.0973913043478261, ""B"": 0.25565217391304346, ""C"": 0.22608695652173913, ""D"": 0.2530434782608696, ""E"": 0.1678260869565217}","{""A"": 0.1, ""B"": 0.08, ""C"": 0.3, ""D"": 0.45, ""E"": 0.07}","{""A"": 0.0496875, ""B"": 0.11359375000000001, ""C"": 0.29296875, ""D"": 0.4871875, ""E"": 0.0565625}",,conspiracycorr_distribution_diagnosis.png
DICES,247,0.170838287809909,0.1522151487079551,,False,"{""A"": 0.05219083126910086, ""B"": 0.9305716400582236, ""C"": 0.017237528672675643}","{""A"": 0.1417004048582996, ""B"": 0.8068421052631579, ""C"": 0.05145748987854251}","{""A"": 0.11783337550607288, ""B"": 0.8298513410931174, ""C"": 0.052315283400809716}",,dices_distribution_diagnosis.png
GlobalOpinionQA,23,0.1544822458445148,0.151482586370718,,False,"{""A"": 0.43672573218523497, ""B"": 0.3929016629789342, ""C"": 0.11480818091985137, ""D"": 0.04989907477236949, ""E"": 0.005665349143610014}","{""A"": 0.391304347826087, ""B"": 0.40652173913043477, ""C"": 0.12782608695652173, ""D"": 0.07, ""E"": 0.004347826086956522}","{""A"": 0.3776968973611565, ""B"": 0.4180046640605136, ""C"": 0.13812219634230505, ""D"": 0.06462732919254659, ""E"": 0.001548913043478261}",,globalopinionqa_distribution_diagnosis.png
ISSP,17,0.1674691987997246,0.1830361489499612,,False,"{""A"": 0.09902564104455948, ""B"": 0.2224496749255025, ""C"": 0.24144870444444191, ""D"": 0.21677895554635523, ""E"": 0.1348308308154953, ""F"": 0.043671259075060045, ""G"": 0.02105413683623556, ""H"": 0.005560295429224625, ""I"": 0.008934859553250999, ""J"": 0.004928295264492414, ""K"": 0.0007684296303398563, ""L"": 0.0005489174350421093}","{""A"": 0.0688235294117647, ""B"": 0.21176470588235294, ""C"": 0.2817647058823529, ""D"": 0.17941176470588238, ""E"": 0.13705882352941176, ""F"": 0.07647058823529412, ""G"": 0.02235294117647059, ""H"": 0.005294117647058824, ""I"": 0.007647058823529412, ""J"": 0.005294117647058823, ""K"": 0.0023529411764705885, ""L"": 0.001764705882352941}","{""A"": 0.05558814429237041, ""B"": 0.24195819231157809, ""C"": 0.2853253516753236, ""D"": 0.17723337045214127, ""E"": 0.1382484466558901, ""F"": 0.05755350902737333, ""G"": 0.025411327897495634, ""H"": 0.007461415259172976, ""I"": 0.007627584449621433, ""J"": 0.0023614953407105417, ""K"": 0.000689065230052417, ""L"": 0.0005420974082702388}",,issp_distribution_diagnosis.png
Jester,136,0.4302891982004221,0.4864334918048521,,False,"{""A"": 0.08615240669153228, ""B"": 0.04463480118312419, ""C"": 0.06135237206942749, ""D"": 0.07151462870216191, ""E"": 0.045675315112517385, ""F"": 0.3678383733123732, ""G"": 0.11693095135226764, ""H"": 0.08383189226459313, ""I"": 0.05078896545641992, ""J"": 0.07128029385558293}","{""A"": 0.022058823529411766, ""B"": 0.02095588235294118, ""C"": 0.01985294117647059, ""D"": 0.03419117647058824, ""E"": 0.10919117647058825, ""F"": 0.4742647058823529, ""G"": 0.23713235294117646, ""H"": 0.07500000000000001, ""I"": 0.006985294117647059, ""J"": 0.0003676470588235294}","{""A"": 0.0031479119803511993, ""B"": 0.004951105914174728, ""C"": 0.013575054475929299, ""D"": 0.043204782436615935, ""E"": 0.09455225798049105, ""F"": 0.17381493462292819, ""G"": 0.30590769505450816, ""H"": 0.2695814281710422, ""I"": 0.07993043117863576, ""J"": 0.011334398185323481}",,jester_distribution_diagnosis.png
MoralMachine,72,0.4191099894886455,0.3704119838042073,,False,"{""A"": 0.39169570310499857, ""B"": 0.6083042968950014}","{""A"": 0.5444444444444445, ""B"": 0.4555555555555555}","{""A"": 0.5297873263888889, ""B"": 0.4702126736111111}",,moralmachine_distribution_diagnosis.png
NumberGame,500,0.2262573119690766,0.2180502830604852,,False,"{""A"": 0.3284884961443785, ""B"": 0.6715115038556215}","{""A"": 0.2, ""B"": 0.8}","{""A"": 0.2988703125, ""B"": 0.7011296874999999}",,numbergame_distribution_diagnosis.png
OSPsychBig5,40,0.1400090216519646,0.2209507854068016,0.1652224411780024,True,"{""A"": 0.1476772826211479, ""B"": 0.18606942375988086, ""C"": 0.2081624470156948, ""D"": 0.251188566846145, ""E"": 0.20690227975713144}","{""A"": 0.1405, ""B"": 0.20600000000000002, ""C"": 0.24, ""D"": 0.26275, ""E"": 0.15075}","{""A"": 0.2213968253968254, ""B"": 0.15632149057539682, ""C"": 0.15816629464285714, ""D"": 0.2239698040674603, ""E"": 0.24014558531746033}","{""A"": 0.0976390763088435, ""B"": 0.2052057538768485, ""C"": 0.280569233595994, ""D"": 0.27141238862606454, ""E"": 0.1451735475922494}",ospsychbig5_distribution_diagnosis.png
