bootstrap_iter,metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,score
0,mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.040825582162753206,0.030611486486486594,0.008378891416333993,0.040825582162753206
0,mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.028930650576104475,0.025666666666666782,0.004681263972120734,0.028930650576104475
0,mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.04474216096100372,0.03666666666666657,0.009445251835791013,0.04474216096100372
0,mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.018913960415649855,0.015380952380952329,0.003963139209465428,0.018913960415649855
0,mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.0751898181655679,0.07,0.0157701212391175,0.0751898181655679
0,mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.02808169980601965,0.022888888888888848,0.005909449363986743,0.02808169980601965
0,mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.04642857142857139,0.012857142857142873,0.03405427840302919,0.04642857142857139
0,mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.018749999999999996,0.0,0.011898004034290791,0.018749999999999996
0,mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.013749999999999998,0.0,0.00723849662107632,0.013749999999999998
0,mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.023749999999999993,0.0,0.014401244159215312,0.023749999999999993
0,mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.3587390586936958,0.3550841750841751,0.04843924340701383,0.3587390586936958
0,mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.01547847968417226,0.027500000000000004
0,mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.0175,0.027500000000000004
0,mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.20412791081376616,0.15305743243243253,0.04189445708166997,0.20412791081376616
0,mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.010000000000000002,0.0,0.006324555320336755,0.010000000000000002
0,mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.20769430555006757,0.19176470588235284,0.03738890832629237,0.20769430555006757
0,mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.020000000000000007,0.0,0.013038404810405293,0.020000000000000007
0,mean_alignment_abs_error,session,C_delegated,,4,0.07500000000000001,0.04999999999999999,0.037749172176353755,0.07500000000000001
0,mean_alignment_abs_error,session,PD_delegated,,4,0.05499999999999999,0.05000000000000002,0.01707825127659933,0.05499999999999999
0,mean_alignment_abs_error,session,SH_delegated,,4,0.095,0.06999999999999999,0.043493294502332955,0.095
0,mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.10999999999999999,0.09999999999999998,0.04203173404306163,0.10999999999999999
0,mean_alignment_abs_error,session,TGSender_delegated,,4,0.10999999999999997,0.08999999999999994,0.055677643628300216,0.10999999999999997
0,mean_alignment_abs_error,session,UGProposer_delegated,,4,0.03999999999999999,0.020000000000000004,0.019999999999999997,0.03999999999999999
0,mean_alignment_abs_error,session,UGResponder_delegated,,4,0.08000000000000002,0.05000000000000002,0.04242640687119287,0.08000000000000002
0,behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.10400000000000001,0.11999999999999997,0.016546231527987808,0.10400000000000001
0,behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.092,0.09,0.017938165396098278,0.092
0,behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.098,0.09000000000000001,0.011907047399661164,0.098
0,behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.05,0.04999999999999999,0.01085254706406647,0.05
0,behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.05,0.04999999999999999,0.01085254706406647,0.05
0,behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.0516,0.034,0.012739440071421242,0.0516
