participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.in_deception,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.simulated_play_time,session.config.participation_fee,session.prolific_completion_url,introduction.1.player.id_in_group,introduction.1.player.role,introduction.1.player.payoff,introduction.1.player.q1,introduction.1.player.q2,introduction.1.player.q3,introduction.1.player.q4,introduction.1.player.q5,introduction.1.group.id_in_subsession,introduction.1.subsession.round_number,bonus_game.1.player.id_in_group,bonus_game.1.player.role,bonus_game.1.player.payoff,bonus_game.1.player.time_spent,bonus_game.1.player.potential_payoff,bonus_game.1.player.decision,bonus_game.1.player.in_deception,bonus_game.1.group.id_in_subsession,bonus_game.1.subsession.round_number,bonus_game.2.player.id_in_group,bonus_game.2.player.role,bonus_game.2.player.payoff,bonus_game.2.player.time_spent,bonus_game.2.player.potential_payoff,bonus_game.2.player.decision,bonus_game.2.player.in_deception,bonus_game.2.group.id_in_subsession,bonus_game.2.subsession.round_number,bonus_game.3.player.id_in_group,bonus_game.3.player.role,bonus_game.3.player.payoff,bonus_game.3.player.time_spent,bonus_game.3.player.potential_payoff,bonus_game.3.player.decision,bonus_game.3.player.in_deception,bonus_game.3.group.id_in_subsession,bonus_game.3.subsession.round_number,bonus_game.4.player.id_in_group,bonus_game.4.player.role,bonus_game.4.player.payoff,bonus_game.4.player.time_spent,bonus_game.4.player.potential_payoff,bonus_game.4.player.decision,bonus_game.4.player.in_deception,bonus_game.4.group.id_in_subsession,bonus_game.4.subsession.round_number,bonus_game.5.player.id_in_group,bonus_game.5.player.role,bonus_game.5.player.payoff,bonus_game.5.player.time_spent,bonus_game.5.player.potential_payoff,bonus_game.5.player.decision,bonus_game.5.player.in_deception,bonus_game.5.group.id_in_subsession,bonus_game.5.subsession.round_number,bonus_game.6.player.id_in_group,bonus_game.6.player.role,bonus_game.6.player.payoff,bonus_game.6.player.time_spent,bonus_game.6.player.potential_payoff,bonus_game.6.player.decision,bonus_game.6.player.in_deception,bonus_game.6.group.id_in_subsession,bonus_game.6.subsession.round_number,bonus_game.7.player.id_in_group,bonus_game.7.player.role,bonus_game.7.player.payoff,bonus_game.7.player.time_spent,bonus_game.7.player.potential_payoff,bonus_game.7.player.decision,bonus_game.7.player.in_deception,bonus_game.7.group.id_in_subsession,bonus_game.7.subsession.round_number,bonus_game.8.player.id_in_group,bonus_game.8.player.role,bonus_game.8.player.payoff,bonus_game.8.player.time_spent,bonus_game.8.player.potential_payoff,bonus_game.8.player.decision,bonus_game.8.player.in_deception,bonus_game.8.group.id_in_subsession,bonus_game.8.subsession.round_number,bonus_game.9.player.id_in_group,bonus_game.9.player.role,bonus_game.9.player.payoff,bonus_game.9.player.time_spent,bonus_game.9.player.potential_payoff,bonus_game.9.player.decision,bonus_game.9.player.in_deception,bonus_game.9.group.id_in_subsession,bonus_game.9.subsession.round_number,bonus_game.10.player.id_in_group,bonus_game.10.player.role,bonus_game.10.player.payoff,bonus_game.10.player.time_spent,bonus_game.10.player.potential_payoff,bonus_game.10.player.decision,bonus_game.10.player.in_deception,bonus_game.10.group.id_in_subsession,bonus_game.10.subsession.round_number,bonus_game.11.player.id_in_group,bonus_game.11.player.role,bonus_game.11.player.payoff,bonus_game.11.player.time_spent,bonus_game.11.player.potential_payoff,bonus_game.11.player.decision,bonus_game.11.player.in_deception,bonus_game.11.group.id_in_subsession,bonus_game.11.subsession.round_number,bret.1.player.id_in_group,bret.1.player.role,bret.1.player.payoff,bret.1.player.bomb,bret.1.player.bomb_row,bret.1.player.bomb_col,bret.1.player.boxes_collected,bret.1.player.pay_this_round,bret.1.player.round_result,bret.1.group.id_in_subsession,bret.1.subsession.round_number,debrief.1.player.id_in_group,debrief.1.player.role,debrief.1.player.payoff,debrief.1.player.debrief,debrief.1.player.debrief2,debrief.1.group.id_in_subsession,debrief.1.subsession.round_number,thanks.1.player.id_in_group,thanks.1.player.role,thanks.1.player.payoff,thanks.1.group.id_in_subsession,thanks.1.subsession.round_number
1,lodgc7ag,60c8c52afa401e0fc4c0aaea,0,44,44,thanks,Thanks,2022-08-31 10:11:37.972443,1,,,151.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,1,,0.0,1,8,2,1,1,1,1,1,,0.0,270.0,0.0,B,1,1,1,1,,0.0,20.0,20.0,B,1,1,2,1,,0.0,9.0,40.0,A,1,1,3,1,,0.0,57.0,92.0,A,1,1,4,1,,0.0,13.0,96.0,A,1,1,5,1,,100.0,21.0,100.0,B,1,1,6,1,,0.0,8.0,120.0,B,1,1,7,1,,0.0,13.0,140.0,B,1,1,8,1,,0.0,7.0,160.0,B,1,1,9,1,,0.0,9.0,180.0,B,1,1,10,1,,0.0,60.0,180.0,B,1,1,11,1,,51.0,0,9,9,51,1,51.0,1,1,1,,0.0,majority,random,1,1,1,,0.0,1,1
2,omfge2w9,5f05cf1309b0de08fd3bd4cf,0,6,44,introduction,Start_game,2022-08-31 10:22:27.561779,1,,,0.0,,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,2,,0.0,,,,,,1,1,2,,0.0,,,,,1,1,2,,0.0,,,,,1,2,2,,0.0,,,,,1,3,2,,0.0,,,,,1,4,2,,0.0,,,,,1,5,2,,0.0,,,,,1,6,2,,0.0,,,,,1,7,2,,0.0,,,,,1,8,2,,0.0,,,,,1,9,2,,0.0,,,,,1,10,2,,0.0,,,,,1,11,2,,0.0,,,,,,,1,1,2,,0.0,,,1,1,2,,0.0,1,1
3,1thmoadv,5bc6618e54b3bc0001a30ffa,0,44,44,thanks,Thanks,2022-08-31 10:23:32.426923,1,,,139.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,3,,0.0,1,8,2,1,1,1,1,3,,0.0,215.0,0.0,B,1,1,1,3,,0.0,300.0,20.0,A,1,1,2,3,,88.0,127.0,88.0,B,1,1,3,3,,0.0,244.0,60.0,B,1,1,4,3,,0.0,97.0,80.0,B,1,1,5,3,,0.0,195.0,100.0,A,1,1,6,3,,0.0,139.0,104.0,A,1,1,7,3,,0.0,75.0,108.0,A,1,1,8,3,,0.0,43.0,112.0,A,1,1,9,3,,0.0,36.0,116.0,A,1,1,10,3,,0.0,32.0,116.0,A,1,1,11,3,,51.0,0,8,8,51,1,51.0,1,1,3,,0.0,only_c,majority,1,1,3,,0.0,1,1
4,7201odhw,5e6e6497d33339419afd90f9,0,44,44,thanks,Thanks,2022-08-31 10:23:59.692608,1,,,162.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,4,,0.0,1,8,2,1,1,1,1,4,,0.0,287.0,0.0,A,0,1,1,4,,0.0,21.0,84.0,A,0,1,2,4,,88.0,18.0,88.0,A,0,1,3,4,,0.0,27.0,92.0,A,0,1,4,4,,0.0,40.0,96.0,A,0,1,5,4,,0.0,21.0,100.0,B,0,1,6,4,,0.0,22.0,120.0,B,0,1,7,4,,0.0,11.0,140.0,B,0,1,8,4,,0.0,6.0,160.0,B,0,1,9,4,,0.0,17.0,180.0,A,0,1,10,4,,0.0,20.0,116.0,A,0,1,11,4,,74.0,0,9,10,74,1,74.0,1,1,4,,0.0,only_c,majority,1,1,4,,0.0,1,1
5,wfclro8y,5ca606a5614b7b0015be495e,0,44,44,thanks,Thanks,2022-08-31 10:24:09.465027,1,,,116.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,5,,0.0,1,8,2,1,1,1,1,5,,0.0,80.0,0.0,A,1,1,1,5,,0.0,54.0,84.0,A,1,1,2,5,,0.0,21.0,88.0,B,1,1,3,5,,0.0,25.0,60.0,A,1,1,4,5,,0.0,23.0,96.0,B,1,1,5,5,,0.0,23.0,100.0,A,1,1,6,5,,0.0,24.0,104.0,A,1,1,7,5,,0.0,17.0,108.0,A,1,1,8,5,,0.0,36.0,112.0,A,1,1,9,5,,0.0,332.0,116.0,A,1,1,10,5,,116.0,224.0,116.0,A,1,1,11,5,,0.0,1,8,6,81,1,0.0,1,1,5,,0.0,random,only_c,1,1,5,,0.0,1,1
6,qlksq9l0,5f24956d52c72509677c5d85,0,44,44,thanks,Thanks,2022-08-31 10:24:25.385497,1,,,217.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,6,,0.0,1,8,2,1,1,1,1,6,,0.0,107.0,0.0,A,0,1,1,6,,0.0,84.0,84.0,A,0,1,2,6,,0.0,38.0,88.0,A,0,1,3,6,,0.0,39.0,92.0,B,0,1,4,6,,0.0,23.0,80.0,A,0,1,5,6,,0.0,35.0,100.0,A,0,1,6,6,,0.0,18.0,104.0,A,0,1,7,6,,0.0,38.0,108.0,A,0,1,8,6,,0.0,29.0,112.0,B,0,1,9,6,,180.0,32.0,180.0,B,0,1,10,6,,0.0,19.0,180.0,B,0,1,11,6,,37.0,0,6,9,37,1,37.0,1,1,6,,0.0,minority,random,1,1,6,,0.0,1,1
7,a45opo3a,58c26f473977190001f54116,0,44,44,thanks,Thanks,2022-08-31 10:24:47.590196,1,,,147.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,7,,0.0,1,8,2,1,1,1,1,7,,0.0,30.0,0.0,A,1,1,1,7,,84.0,83.0,84.0,A,1,1,2,7,,0.0,47.0,88.0,B,1,1,3,7,,0.0,40.0,60.0,B,1,1,4,7,,0.0,23.0,80.0,A,1,1,5,7,,0.0,42.0,100.0,A,1,1,6,7,,0.0,23.0,104.0,A,1,1,7,7,,0.0,25.0,108.0,A,1,1,8,7,,0.0,72.0,112.0,B,1,1,9,7,,0.0,55.0,180.0,B,1,1,10,7,,0.0,15.0,180.0,A,1,1,11,7,,63.0,0,10,1,63,1,63.0,1,1,7,,0.0,random,random,1,1,7,,0.0,1,1
8,evl18xp0,5df7f2a06aab7c59c3dc3b9e,0,44,44,thanks,Thanks,2022-08-31 10:25:29.253879,1,,,128.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,8,,0.0,1,8,2,1,1,1,1,8,,0.0,79.0,0.0,A,0,1,1,8,,0.0,36.0,84.0,B,0,1,2,8,,0.0,22.0,40.0,A,0,1,3,8,,0.0,42.0,92.0,A,0,1,4,8,,0.0,111.0,96.0,A,0,1,5,8,,0.0,143.0,100.0,A,0,1,6,8,,0.0,50.0,104.0,A,0,1,7,8,,108.0,71.0,108.0,A,0,1,8,8,,0.0,193.0,112.0,A,0,1,9,8,,0.0,199.0,116.0,A,0,1,10,8,,0.0,21.0,116.0,A,0,1,11,8,,20.0,0,9,1,20,1,20.0,1,1,8,,0.0,only_c,only_c,1,1,8,,0.0,1,1
9,0qjdnsy8,5f59209be2e8b9128d9652b8,0,44,44,thanks,Thanks,2022-08-31 10:25:37.738868,1,,,20.0,1,1,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,9,,0.0,1,8,2,1,1,1,1,9,,0.0,86.0,0.0,B,1,1,1,9,,20.0,100.0,20.0,A,1,1,2,9,,0.0,54.0,88.0,A,1,1,3,9,,0.0,60.0,92.0,B,1,1,4,9,,0.0,41.0,80.0,B,1,1,5,9,,0.0,43.0,100.0,A,1,1,6,9,,0.0,62.0,104.0,A,1,1,7,9,,0.0,38.0,108.0,B,1,1,8,9,,0.0,32.0,160.0,B,1,1,9,9,,0.0,142.0,180.0,B,1,1,10,9,,0.0,32.0,180.0,B,1,1,11,9,,0.0,1,3,4,61,1,0.0,1,1,9,,0.0,random,majority,1,1,9,,0.0,1,1
10,eq9olv22,62d6defa1986d536fcf8c525,0,44,44,thanks,Thanks,2022-08-31 10:25:40.399678,1,,,127.0,1,0,4d70dvpc,Real Experiment,,,,0,bonus_game,0.005,5,0.6,https://app.prolific.co/submissions/complete?cc=4BC08866,10,,0.0,,,,,,1,1,10,,0.0,1358.0,0.0,A,0,1,1,10,,0.0,343.0,84.0,A,0,1,2,10,,0.0,727.0,88.0,A,0,1,3,10,,92.0,170.0,92.0,B,0,1,4,10,,0.0,79.0,80.0,A,0,1,5,10,,0.0,120.0,100.0,B,0,1,6,10,,0.0,415.0,120.0,B,0,1,7,10,,0.0,229.0,140.0,A,0,1,8,10,,0.0,64.0,112.0,B,0,1,9,10,,0.0,67.0,180.0,B,0,1,10,10,,0.0,260.0,180.0,B,0,1,11,10,,35.0,0,9,3,35,1,35.0,1,1,10,,0.0,only_c,random,1,1,10,,0.0,1,1
