metric_family,metric,distance_kind,n_treatments,mean_value,median_value,stderr,treatment_mean_check,run_name
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.4085,2.4175,0.07304127448078776,2.4085,twin_sampled_seed_0_gpt_5_1
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.7420000000000002,1.7400000000000002,0.20192572892031369,1.7420000000000002,twin_sampled_seed_0_gpt_5_1
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,2.987,3.065,0.1326067703986322,2.987,twin_sampled_seed_0_gpt_5_1
distribution_distance,return_pct,wasserstein_1d,10,9.922,9.6,0.9942744982034776,9.922,twin_sampled_seed_0_gpt_5_1
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.7040000000000002,1.38,0.28505438077672124,1.704,twin_sampled_seed_0_gpt_5_1
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.78,1.6800000000000002,0.19687559523719536,1.78,twin_sampled_seed_0_gpt_5_1
distribution_distance,action_premium,wasserstein_1d,5,3.004,2.8,0.2305992194262591,3.004,twin_sampled_seed_0_gpt_5_1
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.185,3.35,0.31742453171318274,3.185,twin_sampled_seed_0_gpt_5_1
distribution_distance,action_premium_after_check,wasserstein_1d,4,2.625,2.55,0.14032699906527854,2.625,twin_sampled_seed_0_gpt_5_1
distribution_distance,action_premium_fast,wasserstein_1d,1,3.8,3.8,,3.8,twin_sampled_seed_0_gpt_5_1
distribution_distance,action_premium_slow,wasserstein_1d,1,2.6600000000000006,2.6600000000000006,,2.6600000000000006,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_act,wasserstein_1d,5,2.76,2.54,0.19308029417835473,2.7600000000000002,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.19,2.29,0.19226717521892983,2.19,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.22,2.22,,2.22,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.4000000000000004,3.4000000000000004,,3.4000000000000004,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.395,2.39,0.11615363389350608,2.3949999999999996,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_no_act,wasserstein_1d,5,2.156,2.02,0.10906878563548787,2.1559999999999997,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.485,2.36,0.21654483754332873,2.485,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,1.94,1.94,,1.94,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,1.9,1.9,,1.9,twin_sampled_seed_0_gpt_5_1
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.36,2.38,0.20591260281973997,2.36,twin_sampled_seed_0_gpt_5_1
