experiment,cohort,stage,round,turn,participant,type,start,end,duration(ms),duration(s),turn duration(ms),turn duration(s),round duration(ms),round duration(s),game duration(ms),game duration(s)
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,0,dog-orange-384,proposal,1741276278367,1741276297716,19349,19.349,44616.0,44.616,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,0,buffalo-red-6989,response,1741276297716,1741276322983.0,25267.0,25.267,44616.0,44.616,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,0,cat-pink-8143,response,1741276297716,1741276306278.0,8562.0,8.562,44616.0,44.616,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,1,buffalo-red-6989,proposal,1741276322983.0,1741276355988,33005.0,33.005,44300.0,44.3,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,1,cat-pink-8143,response,1741276355988,1741276365392.0,9404.0,9.404,44300.0,44.3,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,1,dog-orange-384,response,1741276355988,1741276367645.0,11657.0,11.657,44300.0,44.3,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,2,cat-pink-8143,proposal,1741276367645.0,1741276386500,18855.0,18.855,23333.0,23.333,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,2,buffalo-red-6989,response,1741276386500,1741276391914.0,5414.0,5.414,23333.0,23.333,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,0,2,dog-orange-384,response,1741276386500,1741276391658.0,5158.0,5.158,23333.0,23.333,112249.0,112.249,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,0,dog-orange-384,proposal,1741276392176,1741276399760,7584,7.584,15203.0,15.203,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,0,cat-pink-8143,response,1741276399760,1741276407379.0,7619.0,7.619,15203.0,15.203,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,0,buffalo-red-6989,response,1741276399760,1741276406252.0,6492.0,6.492,15203.0,15.203,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,1,buffalo-red-6989,proposal,1741276407379.0,1741276427318,19939.0,19.939,25339.0,25.339,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,1,cat-pink-8143,response,1741276427318,1741276432898.0,5580.0,5.58,25339.0,25.339,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,1,dog-orange-384,response,1741276427318,1741276433020.0,5702.0,5.702,25339.0,25.339,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,2,cat-pink-8143,proposal,1741276433020.0,1741276448220,15200.0,15.2,22456.0,22.456,62998.0,62.998,219487.0,219.487
🟢 2p2 (n=20),Cohort 01-m7xia7,First negotiation game-negotiation1,1,2,dog-orange-384,response,1741276448220,1741276455763.0,7543.0,7.543,22456.0,22.456,62998.0,62.998,219487.0,219.487
