metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.411104261536,1.3708866149610377,0.8571286136529217,0.2491204108391608,0.16666666666666666,0.7019230769230769,0.33653846153846156
final_total_contribution_rate,40,0.3412767323632354,2.405940214325761,1.5578709735816867,0.22722264714452217,0.09090909090909091,0.5480769230769231,0.27403846153846156
first_round_normalized_efficiency,40,0.13038188704999454,0.8823454276980036,0.7504694625437802,0.5605836004273504,0.6,0.8798076923076923,0.4519230769230769
first_round_total_contribution_rate,40,0.10657688977384702,0.8636458214896402,0.7498378553650925,0.5362437475718725,0.5454545454545454,0.8798076923076923,0.5408653846153846
mean_round_normalized_efficiency,40,0.22333819071675928,1.3204368046408215,0.7908149910099764,0.31715593434343436,0.3,0.7620192307692307,0.40625
mean_total_contribution_rate,40,0.19050376133912714,1.7143960189801233,1.0995170235145468,0.3149062742812743,0.2222222222222222,0.6802884615384616,0.3269230769230769
mean_within_round_contribution_rate_var,40,0.041544798298667744,1.1761934168947976,0.8837513883429053,0.34764896561771563,0.3333333333333333,0.7692307692307693,0.42788461538461536
messages_per_round,26,2.079284955690435,1.5190587848757797,0.7964597472914603,0.5695414287805592,0.6,0.8260869565217391,0.40942028985507245
punish_actor_round_rate,20,0.09059549775743601,0.9326419526186618,0.5980691407051699,0.4434047795023404,0.5,0.7951219512195122,0.5707317073170731
reward_actor_round_rate,22,0.10633061377105944,0.8300787179506184,0.5801924928069382,0.4859071059944422,0.5,0.868995633187773,0.5545851528384279
round_normalized_efficiency_decay_slope,40,0.35506542997118906,1.2558357983151949,0.7824283291323301,0.2585118006993007,0.18181818181818182,0.7067307692307693,0.3557692307692308
round_normalized_efficiency_rmse_to_treatment_mean,40,0.17747604633189662,1.5988327764772226,0.8760442009172819,0.5132332944832945,0.5,0.6971153846153846,0.33653846153846156
rounds_with_chat_rate,26,0.3976383476174249,1.5443409497189653,1.2924860661584991,0.8361637205387205,0.9166666666666666,0.7463768115942029,0.30434782608695654
total_contribution_rate_decay_slope,40,0.27596905338135524,1.8865573049173436,1.2174729574341097,0.24055154914529914,0.1111111111111111,0.6057692307692307,0.28846153846153844
total_contribution_rate_rmse_to_treatment_mean,40,0.12479813895519082,2.1285070780880235,1.0818988286382174,0.6108160936285936,0.6666666666666666,0.6394230769230769,0.28365384615384615
total_contribution_rate_sd,40,0.05337339459573917,1.3928680672477063,1.0121081021136265,0.48928224553224553,0.45454545454545453,0.6538461538461539,0.33413461538461536
