metric,matched_mean,candidate_uniform_mean,candidate_uniform_sd,matched_minus_candidate_uniform,candidate_uniform_standardized_difference,unique_player_mean,unique_player_sd,matched_minus_unique_player,unique_player_standardized_difference
mean_contribution,17.16959592680861,15.064682136210763,5.159212021188116,2.1049137905978483,0.4079913331635297,15.534824708210314,5.080685041275797,1.6347712185982974,0.32176196818289576
mean_contribution_rate,0.8584797963404301,0.7532341068105377,0.25796060105940616,0.10524568952989244,0.40799133316352926,0.776741235410516,0.25403425206378977,0.08173856092991416,0.32176196818289304
first_contribution,15.993749999999991,13.879172570850121,7.573388863878039,2.11457742914987,0.2792115217053673,14.02046783625731,7.5119508537451525,1.973282163742681,0.2626857126945769
first_contribution_rate,0.7996874999999998,0.6939586285425071,0.3786694431939017,0.10572887145749266,0.27921152170536523,0.7010233918128652,0.37559754268725815,0.09866410818713456,0.2626857126945779
final_contribution,17.71749999999999,15.141914883362178,7.857617554955814,2.5755851166378125,0.32778193881596923,15.584795321637428,7.757102185406099,2.132704678362563,0.27493574628615153
final_contribution_rate,0.885875,0.7570957441681091,0.39288087774779107,0.12877925583189087,0.32778193881596956,0.7792397660818714,0.38785510927030553,0.10663523391812857,0.27493574628615225
contribution_sd,3.2159821811542915,4.616284084723301,3.509569980220773,-1.4003019035690092,-0.3989952932868778,4.504371176342422,3.5926998873300335,-1.2883889951881309,-0.35861303075487766
zero_contribution_rate,0.07334204731515816,0.14650369692252746,0.23177793839252583,-0.0731616496073693,-0.315654070075759,0.14385030740103996,0.23270798506447132,-0.0705082600858818,-0.3029902908847224
full_contribution_rate,0.7462025157547297,0.6375718618943056,0.35537570804359386,0.10863065386042414,0.3056783325412283,0.6872375049827533,0.33624163149404335,0.05896501077197647,0.1753649912712283
contribution_slope,0.020952942268777964,0.055474378680542696,0.4095385078297698,-0.034521436411764736,-0.08429350537682292,0.07078249950413164,0.4157936852448533,-0.04982955723535368,-0.11984202503222233
message_count,2.9877499999999984,1.9165624999999893,4.287355380626164,1.071187500000009,0.2498480776379128,2.301169590643275,4.878638103320321,0.6865804093567234,0.14073198192123496
messages_per_round,0.2024605465932191,0.13741207497931923,0.2895540456545472,0.06504847161389987,0.2246505361956021,0.15344308486510813,0.30951950780221116,0.04901746172811097,0.15836630807591637
rounds_with_message_rate,0.14399433472341572,0.10042048821230011,0.19235051991459767,0.04357384651111561,0.22653355203023157,0.10872364017391332,0.19908316241547996,0.03527069454950239,0.177165633304004
reward_given_units,8.643249999999995,5.89180975274722,19.504895171907513,2.7514402472527744,0.1410640879124342,6.260233918128655,19.348892648648093,2.3830160818713395,0.12316033403791926
reward_given_events,7.3444999999999965,4.45391941391939,12.88138666676484,2.890580586080606,0.22439979956028877,5.052631578947368,14.606640786405924,2.2918684210526283,0.15690592070872444
reward_given_round_rate,0.20605847523056864,0.1291051773758343,0.26965358332446826,0.07695329785473434,0.285378361770695,0.12356395242715554,0.2597767946373153,0.0824945228034131,0.3175592451149726
reward_received_units,6.7747499999999965,5.89180975274722,12.660940184799575,0.8829402472527761,0.06973733659312388,6.260233918128655,12.70698099578157,0.5145160818713412,0.04049082012809722
reward_received_events,4.989499999999995,4.453919413919388,8.456687684779483,0.5355805860806075,0.06333219412188489,5.052631578947368,9.556396564449082,-0.06313157894737298,-0.006606211716059364
reward_received_round_rate,0.2267483572917508,0.21682474186410747,0.32216388911065724,0.009923615427643334,0.030803003573857277,0.21550978243226998,0.31526006869026324,0.011238574859480821,0.03564858342564944
punish_given_units,4.696249999999997,5.693320862251753,34.27999098773794,-0.9970708622517552,-0.02908608880931184,6.7368421052631575,36.984836302780806,-2.04059210526316,-0.05517374981891518
punish_given_events,2.629999999999998,1.7821027930402835,4.933330718090823,0.8478972069597146,0.17187114657657637,2.318713450292398,5.807401063877001,0.3112865497076003,0.0536016965736798
punish_given_round_rate,0.10875689711264228,0.08185487793431193,0.18788916447205842,0.02690201917833035,0.14318025871221027,0.09690236045340939,0.2016275359653349,0.01185453665923289,0.05879423463901775
punish_received_units,0.9062499999999996,5.693320862251752,43.44353916255932,-4.787070862251753,-0.11019062798588392,6.7368421052631575,48.189875298196796,-5.8305921052631575,-0.12099205630194546
punish_received_events,0.7162499999999995,1.7821027930402833,5.572733387298126,-1.0658527930402837,-0.19126211841924304,2.318713450292398,6.769440325565925,-1.6024634502923982,-0.23672022696476497
punish_received_round_rate,0.042093644048782415,0.07806731899485674,0.17715862098425997,-0.03597367494607432,-0.2030591271607972,0.09006135158338252,0.18784238493507535,-0.047967707534600106,-0.25536146994289577
