metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr
behavior_distribution_distance,distribution,fairness_wd,mean_wasserstein_1d,6,0.2286,0.22700000000000004,0.01054535179329947
behavior_distribution_distance,distribution,trust_wd,mean_wasserstein_1d,6,0.19,0.22,0.031162655713387312
behavior_distribution_distance,distribution,trustworthiness_wd,mean_wasserstein_1d,6,0.18133333333333335,0.1816666666666667,0.008183090062009764
behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.387,0.365,0.04514298272033969
behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.39,0.36,0.03428637565499677
behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.1716,0.16799999999999998,0.030001185161775037
behavior_distribution_distance,distribution,inequality_tolerance_wd,wasserstein_1d,6,0.2856,0.28800000000000003,0.017263448863615492
behavior_distribution_distance,distribution,trust_send_wd,wasserstein_1d,6,0.19,0.22,0.031162655713387312
behavior_distribution_distance,distribution,trustworthiness_return_wd,wasserstein_1d,6,0.18133333333333335,0.1816666666666667,0.008183090062009764
behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.40599999999999997,0.43999999999999995,0.022715633383201088
behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.368,0.28,0.07199999999999998
behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.39,0.36,0.03428637565499677
paper_index_distribution_distance,distribution,delegation_index_wd,wasserstein_1d,4,0.5242857142857142,0.5485714285714285,0.05677860093212513
paper_index_distribution_distance,distribution,payoff_index_wd,wasserstein_1d,6,0.20227438253076135,0.19676190476190475,0.016363019543881696
paper_index_distribution_distance,distribution,prosociality_index_wd,wasserstein_1d,6,0.21787315108437974,0.21112136243386243,0.013062427974101218
paper_index_distribution_distance,distribution,kindness_index_wd,wasserstein_1d,6,0.2886792403198653,0.2753787878787879,0.016763877780904036
paper_index_distribution_distance,distribution,intentions_index_wd,wasserstein_1d,6,0.16219922009207724,0.1605,0.008688856236858564
paper_index_distribution_distance,distribution,predictability_index_wd,wasserstein_1d,6,0.337538821472645,0.32,0.02797498837918436
paper_index_distribution_distance,distribution,equality_index_wd,wasserstein_1d,6,0.16166666666666665,0.14799999999999996,0.026041730302952554
delegation_distribution_distance,distribution,mean_delegation_wd,mean_wasserstein_1d,4,0.5242857142857142,0.5485714285714286,0.056778600932125174
delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.385,0.36,0.0963932916061417
delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.575,0.5800000000000001,0.05560275772537425
delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.5700000000000001,0.5900000000000001,0.06557438524302
delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.485,0.53,0.07804912982645397
delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.405,0.43,0.08381527307120104
delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.675,0.6799999999999999,0.026299556396765827
delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.575,0.5700000000000001,0.04272001872658766
scenario_state_distribution_distance,distribution,mean_role_state_tv,total_variation,6,0.49107142857142855,0.47857142857142854,0.0233414101667279
scenario_state_distribution_distance,distribution,C_decision_state,total_variation,6,0.43875,0.36,0.05463420021683609
scenario_state_distribution_distance,distribution,PD_decision_state,total_variation,6,0.44625,0.45999999999999996,0.028030860969058134
scenario_state_distribution_distance,distribution,SH_decision_state,total_variation,6,0.38999999999999996,0.34,0.05695027070465366
scenario_state_distribution_distance,distribution,TGReceiver_decision_state,total_variation,6,0.58125,0.5800000000000001,0.033983758375631924
scenario_state_distribution_distance,distribution,TGSender_decision_state,total_variation,6,0.2525,0.22999999999999998,0.03577126407234351
scenario_state_distribution_distance,distribution,UGProposer_decision_state,total_variation,6,0.57625,0.6799999999999999,0.074413680417873
scenario_state_distribution_distance,distribution,UGResponder_decision_state,total_variation,6,0.7525,0.78,0.03468308905888671
scenario_direct_value_distance,distribution,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.097907268170426,1.0957142857142856,0.031074087299203895
scenario_direct_value_distance,distribution,UGProposer_decision_direct,wasserstein_1d,6,0.8083333333333335,0.74,0.13020865151476277
scenario_direct_value_distance,distribution,UGResponder_decision_direct,wasserstein_1d,6,1.422857142857143,1.4,0.0658789146629956
scenario_direct_value_distance,distribution,TGReceiver_decision_direct,wasserstein_1d,6,1.046154672395274,1.0557142857142856,0.04086689868310548
mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.09625,0.0,0.048139337691054
mean_alignment_abs_error,session,C_delegated,,4,0.385,0.36000000000000004,0.09639329160614168
mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.14375,0.0,0.0654782088433498
mean_alignment_abs_error,session,PD_delegated,,4,0.575,0.58,0.055602757725374236
mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.14250000000000002,0.0,0.065393042443367
mean_alignment_abs_error,session,SH_delegated,,4,0.57,0.59,0.06557438524302
mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.4645864661654135,0.51,0.056079606913410115
mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.12125,0.0,0.05696398716148066
mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.485,0.53,0.07804912982645397
mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.10125,0.0,0.04900573945978165
mean_alignment_abs_error,session,TGSender_delegated,,4,0.40499999999999997,0.42999999999999994,0.08381527307120108
mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.4716666666666667,0.40000000000000036,0.0950743993625067
mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.16875,0.0,0.07569607541566033
mean_alignment_abs_error,session,UGProposer_delegated,,4,0.675,0.6799999999999999,0.026299556396765827
mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.9334065934065934,1.0999999999999996,0.10103254710541819
mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.14375,0.0,0.0649927880614457
mean_alignment_abs_error,session,UGResponder_delegated,,4,0.575,0.5700000000000001,0.04272001872658763
mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.5242857142857144,0.5485714285714286,0.056778600932125146
mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.09433333333333334,0.07999999999999996,0.01901487987250134
mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.09110374149659861,0.08225000000000005,0.012245448969011325
mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.28867924031986536,0.2753787878787879,0.016763877780904032
mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.1909649378226455,0.1858752958547759,0.018285030675321688
mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.33753882147264497,0.31999999999999995,0.02797498837918436
mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.21019061140184006,0.19682771164021168,0.01409683349171505
