metric,target_col,prediction_col,model_kind,prediction_prefix,feature_cols,n_train,n_eval,rmse,mae,corr,run_id,label,feature_source
var_players_punishment_rate,human_var_players_punishment_rate,ridge_config_var_players_punishment_rate,ridge,ridge_config,"CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.011758259285932379,0.007729146419810326,0.89805936921595,ridge_config_baseline,ridge_config,config
var_players_reward_rate,human_var_players_reward_rate,ridge_config_var_players_reward_rate,ridge,ridge_config,"CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR",348,40,0.020167846597795448,0.011768544484221636,0.8277053304848145,ridge_config_baseline,ridge_config,config
contribution_rate,human_mean_contribution_rate,linear_cluster_pred_mean_contribution_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.0837168974582931,0.06473752745712971,0.5451746973354058,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
punishment_rate,human_punishment_rate,linear_cluster_pred_punishment_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.06436902235608566,0.051067293921064,0.7492450565926001,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
reward_rate,human_reward_rate,linear_cluster_pred_reward_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.1368406262864794,0.11135182703695379,0.1899105516380322,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
normalized_efficiency,human_normalized_efficiency,linear_cluster_pred_normalized_efficiency,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.10023013734860645,0.08047050916636647,0.5587897539221186,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
var_players_contrib_rate,human_var_players_contrib_rate,linear_cluster_pred_var_players_contrib_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.0232783943022093,0.01874605951573178,0.4850838306665463,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
var_players_punishment_rate,human_var_players_punishment_rate,linear_cluster_pred_var_players_punishment_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.017954518529525156,0.013765585667443906,0.7455461422117532,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
var_players_reward_rate,human_var_players_reward_rate,linear_cluster_pred_var_players_reward_rate,linear,linear_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.033836663427082754,0.028314572784823723,0.19478920297158342,linear_cluster_pred_baseline,linear_cluster_pred,cluster_pred
contribution_rate,human_mean_contribution_rate,ridge_cluster_pred_mean_contribution_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.08239690454713887,0.06395643182172205,0.5438619486264659,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
punishment_rate,human_punishment_rate,ridge_cluster_pred_punishment_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.06447844193279498,0.05125812289342848,0.7480773580806945,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
reward_rate,human_reward_rate,ridge_cluster_pred_reward_rate,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.13699777166037724,0.11120860984687789,0.18440363658822628,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
normalized_efficiency,human_normalized_efficiency,ridge_cluster_pred_normalized_efficiency,ridge,ridge_cluster_pred,"cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob",348,40,0.0961458421755203,0.07756987108764836,0.5620379496685471,ridge_cluster_pred_baseline,ridge_cluster_pred,cluster_pred
