treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_7_T,mean_round_normalized_efficiency,12,12,0.2061633798324212,baseline_gpt_5_mini,Baseline,7-T,0.2061633798324212,gpt-5-mini
VALIDATION_8_C,mean_round_normalized_efficiency,12,12,0.2626192006857388,baseline_gpt_5_mini,Baseline,8-C,0.2626192006857388,gpt-5-mini
VALIDATION_8_T,mean_round_normalized_efficiency,11,11,0.248875690365565,baseline_gpt_5_mini,Baseline,8-T,0.248875690365565,gpt-5-mini
VALIDATION_9_C,mean_round_normalized_efficiency,11,11,0.3279595138307259,baseline_gpt_5_mini,Baseline,9-C,0.3279595138307259,gpt-5-mini
VALIDATION_9_T,mean_round_normalized_efficiency,11,11,0.1953698546122788,baseline_gpt_5_mini,Baseline,9-T,0.1953698546122788,gpt-5-mini
VALIDATION_0_C,mean_total_contribution_rate,10,10,0.4064814814814815,baseline_gpt_5_mini,Baseline,0-C,0.4064814814814815,gpt-5-mini
VALIDATION_0_T,mean_total_contribution_rate,12,12,0.1484182098765432,baseline_gpt_5_mini,Baseline,0-T,0.1484182098765432,gpt-5-mini
VALIDATION_10_C,mean_total_contribution_rate,10,10,0.4155555555555556,baseline_gpt_5_mini,Baseline,10-C,0.4155555555555556,gpt-5-mini
VALIDATION_10_T,mean_total_contribution_rate,10,10,0.2105555555555555,baseline_gpt_5_mini,Baseline,10-T,0.2105555555555555,gpt-5-mini
VALIDATION_11_C,mean_total_contribution_rate,10,10,0.3401864801864802,baseline_gpt_5_mini,Baseline,11-C,0.3401864801864802,gpt-5-mini
VALIDATION_11_T,mean_total_contribution_rate,11,11,0.2792540792540793,baseline_gpt_5_mini,Baseline,11-T,0.2792540792540793,gpt-5-mini
VALIDATION_12_C,mean_total_contribution_rate,12,12,0.4421296296296296,baseline_gpt_5_mini,Baseline,12-C,0.4421296296296296,gpt-5-mini
VALIDATION_12_T,mean_total_contribution_rate,12,12,0.067824074074074,baseline_gpt_5_mini,Baseline,12-T,0.067824074074074,gpt-5-mini
VALIDATION_13_C,mean_total_contribution_rate,10,10,0.4968153145873734,baseline_gpt_5_mini,Baseline,13-C,0.4968153145873734,gpt-5-mini
VALIDATION_13_T,mean_total_contribution_rate,11,11,0.4599715113318053,baseline_gpt_5_mini,Baseline,13-T,0.4599715113318053,gpt-5-mini
VALIDATION_14_C,mean_total_contribution_rate,12,12,0.4133771929824561,baseline_gpt_5_mini,Baseline,14-C,0.4133771929824561,gpt-5-mini
VALIDATION_14_T,mean_total_contribution_rate,10,10,0.4137280701754386,baseline_gpt_5_mini,Baseline,14-T,0.4137280701754386,gpt-5-mini
VALIDATION_15_C,mean_total_contribution_rate,11,11,0.2799541367723185,baseline_gpt_5_mini,Baseline,15-C,0.2799541367723185,gpt-5-mini
VALIDATION_15_T,mean_total_contribution_rate,9,9,0.3169235702569036,baseline_gpt_5_mini,Baseline,15-T,0.3169235702569036,gpt-5-mini
VALIDATION_16_C,mean_total_contribution_rate,10,10,0.5732063492063492,baseline_gpt_5_mini,Baseline,16-C,0.5732063492063492,gpt-5-mini
VALIDATION_16_T,mean_total_contribution_rate,8,8,0.1235185185185185,baseline_gpt_5_mini,Baseline,16-T,0.1235185185185185,gpt-5-mini
