tag,alignment_score,k_with,k_without,n_with,n_without,sil_with,sil_without,db_with,db_without,ch_with,ch_without
PUNISHMENT,0.5714836469996344,6,7,1812,1879,0.438320130109787,0.44853487610816956,0.7105831165774038,0.7218990116707413,2460.272705078125,2297.9375
REWARD,0.48953606983691084,6,7,1815,1876,0.39535850286483765,0.4164086580276489,0.8373763232274252,0.7756516731162945,2227.023681640625,2462.980712890625
COMMUNICATION,0.36024751558601537,7,6,1870,1821,0.4007272720336914,0.41362035274505615,0.7926840550164352,0.7536895716264116,2150.386474609375,2232.404052734375
