round_number,n_player_rounds,n_games,mean_contribution,median_contribution
1,3906,366,13.874807987711213,20.0
2,3748,360,14.933564567769476,20.0
3,3596,349,15.273915461624027,20.0
4,3494,339,15.302804808242701,20.0
5,3331,323,15.419393575502852,20.0
6,3157,309,15.357301235350016,20.0
7,3063,299,15.505713352921973,20.0
8,2931,289,15.428181508017742,20.0
9,2771,273,15.394442439552508,20.0
10,2639,261,15.39598332701781,20.0
11,2475,245,15.271919191919192,20.0
12,2348,231,15.399488926746168,20.0
13,2163,215,15.599167822468793,20.0
14,2065,205,15.831961259079904,20.0
15,1914,193,15.550156739811912,20.0
16,1810,183,15.758563535911602,20.0
17,1693,173,15.659775546367396,20.0
18,1516,155,15.609498680738787,20.0
19,1395,143,15.724014336917563,20.0
20,1310,133,15.325190839694656,20.0
21,1177,119,15.399320305862362,20.0
22,1018,103,15.31237721021611,20.0
23,901,91,15.078801331853496,20.0
24,785,79,15.252229299363057,20.0
25,662,67,15.19939577039275,20.0
26,568,57,16.160211267605632,20.0
27,454,45,16.308370044052865,20.0
28,322,31,16.133540372670808,20.0
29,212,21,16.69811320754717,20.0
30,103,9,18.446601941747574,20.0
