config_feature,config_value,n_games,mean_slope_per_unit_progress,median_slope_per_unit_progress,mean_last_minus_first,median_last_minus_first,share_negative_slope,share_last_below_first,delta_vs_overall_mean_slope
CONFIG_MPCR,0.06,2,0.24416006787329458,0.24416006787329458,3.9607843137254903,3.9607843137254903,0.5,0.0,0.0017504184012593627
CONFIG_MPCR,0.07,3,5.757267727002066,1.9562855445208314,7.030249706720295,6.927350427350429,0.0,0.0,5.514858077530031
CONFIG_MPCR,0.1,4,-2.2749837881416903,-2.7922077922078006,-2.704611908559277,-3.787878787878788,0.75,0.75,-2.5173934376137255
CONFIG_MPCR,0.11,6,1.2875242838793586,0.09774654960023244,0.8686274509803921,0.5462184873949574,0.16666666666666666,0.5,1.0451146344073234
CONFIG_MPCR,0.12,4,-1.9863306982872229,-0.9108201581027677,-3.359848484848485,-3.043560606060606,0.5,0.5,-2.228740347759258
CONFIG_MPCR,0.13,6,-3.6950509870661463,-4.663218390804605,-3.1973053548904944,-4.354824561403509,0.8333333333333334,0.8333333333333334,-3.9374606365381815
CONFIG_MPCR,0.14,2,-3.311333890281249,-3.311333890281249,-1.3968253968253967,-1.3968253968253967,1.0,1.0,-3.553743539753284
CONFIG_MPCR,0.15,2,3.314285714285716,3.314285714285716,3.571428571428572,3.571428571428572,0.5,0.5,3.0718760648136807
CONFIG_MPCR,0.16,4,-3.0355020796197327,-2.589869281045755,-2.679112554112554,-2.1309523809523805,0.75,0.75,-3.277911729091768
CONFIG_MPCR,0.17,6,-2.473870316925875,-3.933333333333338,-2.3902537277537275,-4.655555555555556,0.6666666666666666,0.6666666666666666,-2.7162799663979103
CONFIG_MPCR,0.18,2,-4.591656804733715,-4.591656804733715,-4.743589743589744,-4.743589743589744,1.0,1.0,-4.83406645420575
CONFIG_MPCR,0.19,10,-2.681934956778413,1.8014705882352897,-3.1599673202614373,-0.8771008403361344,0.4,0.5,-2.924344606250448
CONFIG_MPCR,0.2,4,-2.989117214391488,-1.080990519777715,-0.2697368421052633,0.692982456140351,0.5,0.25,-3.231526863863523
CONFIG_MPCR,0.22,8,-1.8640493076299727,0.0792207792207753,-0.6377442002442006,0.0,0.5,0.375,-2.106458957102008
CONFIG_MPCR,0.23,8,0.914550923344162,1.314022748687571,1.3984685979655025,2.0882352941176467,0.375,0.375,0.6721412738721267
CONFIG_MPCR,0.24,12,3.080990763814151,1.7443571874349968,3.569192381692382,4.277777777777778,0.16666666666666666,0.16666666666666666,2.838581114342116
CONFIG_MPCR,0.25,8,0.2226247436773714,2.2857142857142776,0.1859022556390979,1.7857142857142856,0.375,0.25,-0.019784905794663826
CONFIG_MPCR,0.26,4,-0.16459467960482443,-1.730288260308548,-0.5966880341880345,-1.901709401709402,0.5,0.75,-0.4070043290768597
CONFIG_MPCR,0.27,2,0.04371452723101135,0.04371452723101135,1.8930402930402925,1.8930402930402925,0.5,0.0,-0.19869512224102387
CONFIG_MPCR,0.28,2,-3.29271271008402,-3.29271271008402,-4.090476190476189,-4.090476190476189,1.0,1.0,-3.535122359556055
CONFIG_MPCR,0.29,4,3.5189123376623415,4.338798701298706,5.379464285714286,6.446428571428571,0.25,0.25,3.2765026881903063
