round_number,n_player_rounds,n_games,mean_contribution,median_contribution
1,3952,376,13.847925101214575,20.0
2,3788,368,14.893083421330518,20.0
3,3636,357,15.223322332233224,20.0
4,3531,346,15.21750212404418,20.0
5,3368,330,15.324524940617577,20.0
6,3194,316,15.271759549154664,20.0
7,3100,306,15.385483870967741,20.0
8,2957,294,15.344606019614474,20.0
9,2797,278,15.30353950661423,20.0
10,2665,266,15.298686679174484,20.0
11,2501,250,15.16593362654938,20.0
12,2373,236,15.29709228824273,20.0
13,2188,220,15.494972577696526,20.0
14,2084,208,15.733685220729367,20.0
15,1933,196,15.421624418003104,20.0
16,1829,186,15.633679606342264,20.0
17,1712,176,15.54322429906542,20.0
18,1534,158,15.479139504563234,20.0
19,1413,146,15.585279547062987,20.0
20,1328,136,15.176957831325302,20.0
21,1195,122,15.228451882845189,20.0
22,1036,106,15.128378378378379,20.0
23,919,94,14.875952121871599,20.0
24,803,82,15.001245330012454,20.0
25,680,70,14.9,20.0
26,586,60,15.761092150170649,20.0
27,472,48,15.80084745762712,20.0
28,334,32,15.553892215568862,20.0
29,224,22,15.803571428571429,20.0
30,115,10,16.52173913043478,20.0
