progress_bin,progress_bin_start,progress_bin_end,mean_progress_norm,n_games,n_player_rounds,mean_contribution,median_contribution,p25_contribution,p75_contribution
0,0.0,0.1,0.0298230811571523,366,7402,14.476763037017022,20.0,10.0,20.0
1,0.1,0.2,0.1451291576082729,299,5332,15.46530382595649,20.0,10.0,20.0
2,0.2,0.3,0.24562533707755368,313,5536,15.317377167630058,20.0,10.0,20.0
3,0.3,0.4,0.3450775787125103,299,5295,15.659301227573183,20.0,12.0,20.0
4,0.4,0.5,0.4398129413050687,287,4778,15.63143574717455,20.0,11.0,20.0
5,0.5,0.6,0.5385081231148543,323,5852,15.449077238550922,20.0,10.0,20.0
6,0.6,0.7,0.6464853129497604,309,5530,15.70867992766727,20.0,14.0,20.0
7,0.7,0.8,0.7458212374544066,303,5086,15.398151789225324,20.0,10.0,20.0
8,0.8,0.9,0.8463696883311733,309,5471,15.607384390422226,20.0,11.0,20.0
9,0.9,1.0,0.9669211527174605,360,7245,15.020427881297447,20.0,10.0,20.0
