config_feature,n_values,n_games,overall_mean_slope_per_unit_progress,max_group_mean_slope_gap,eta_squared_slope,min_group_size,max_group_size
CONFIG_MPCR,58,360,0.24240964947203522,15.405050978233595,0.2106361129000944,2,18
CONFIG_numRounds,29,360,0.24240964947203522,7.765192440612617,0.11682539443494121,9,18
CONFIG_chat,2,360,0.24240964947203522,2.900413116568932,0.0879721224051701,180,180
CONFIG_punishmentMagnitude,16,360,0.24240964947203522,6.31352124183006,0.04525904925131222,2,50
CONFIG_playerCount,19,360,0.24240964947203522,4.266432476725442,0.04332172692419839,8,24
CONFIG_showNRounds,2,360,0.24240964947203522,1.5434571999878153,0.02490926488792158,178,182
CONFIG_punishmentExists,2,360,0.24240964947203522,1.4145197496978996,0.020923935851659005,180,180
CONFIG_rewardMagnitude,6,360,0.24240964947203522,3.86439279897475,0.014796406997158326,6,98
CONFIG_allOrNothing,2,360,0.24240964947203522,1.1159007024372898,0.013018345601649108,177,183
CONFIG_showOtherSummaries,2,360,0.24240964947203522,0.7631790696611711,0.006090102911449183,178,182
CONFIG_showRewardId,2,360,0.24240964947203522,0.5900317329088316,0.0036405138134135034,179,181
CONFIG_showPunishmentId,2,360,0.24240964947203522,0.5900317329088316,0.0036405138134135034,179,181
CONFIG_defaultContribProp,2,360,0.24240964947203522,0.4275727654157044,0.0019046732389851337,169,191
CONFIG_rewardExists,2,360,0.24240964947203522,0.05334341191740566,2.975317451545694e-05,178,182
