experiment,cohort,stage,round,turn,participant,type,start,end,duration(ms),duration(s),turn duration(ms),turn duration(s),round duration(ms),round duration(s),game duration(ms),game duration(s)
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,0,badger-pink-6314,proposal,1741279654952,1741279686546,31594,31.594,50108.0,50.108,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,0,dog-green-9823,response,1741279686546,1741279705060.0,18514.0,18.514,50108.0,50.108,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,0,cat-blue-2956,response,1741279686546,1741279693789.0,7243.0,7.243,50108.0,50.108,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,1,cat-blue-2956,proposal,1741279705060.0,1741279745016,39956.0,39.956,50459.0,50.459,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,1,dog-green-9823,response,1741279745016,1741279755769.0,10753.0,10.753,50459.0,50.459,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,1,badger-pink-6314,response,1741279745016,1741279751995.0,6979.0,6.979,50459.0,50.459,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,2,dog-green-9823,proposal,1741279755769.0,1741279770674,14905.0,14.905,20897.0,20.897,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,2,cat-blue-2956,response,1741279770674,1741279776953.0,6279.0,6.279,20897.0,20.897,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,0,2,badger-pink-6314,response,1741279770674,1741279776825.0,6151.0,6.151,20897.0,20.897,121464.0,121.464,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,0,badger-pink-6314,proposal,1741279777086,1741279800992,23906,23.906,31283.0,31.283,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,0,dog-green-9823,response,1741279800992,1741279808369.0,7377.0,7.377,31283.0,31.283,87424.0,87.424,288731.0,288.731
🟣 4p1 (n=20),Cohort 01-m7xkoz,First negotiation game-negotiation1,1,0,cat-blue-2956,response,1741279800992,1741279807849.0,6857.0,6.857,31283.0,31.283,87424.0,87.424,288731.0,288.731
