bootstrap_iter,metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,score
0,mean_alignment_abs_error,paper_index_scenario,equality_index_mean,,6,0.04211636230459716,0.02861148648648648,0.008206788323684645,0.04211636230459716
0,mean_alignment_abs_error,paper_index_scenario,intentions_index_mean,,6,0.031010634815663175,0.025666666666666782,0.004735453175439272,0.031010634815663175
0,mean_alignment_abs_error,paper_index_scenario,kindness_index_mean,,6,0.04454811052759156,0.03185185185185174,0.0095511008904308,0.04454811052759156
0,mean_alignment_abs_error,paper_index_scenario,payoff_index_mean,,6,0.018557014564023117,0.01388505495686343,0.003916196328100809,0.018557014564023117
0,mean_alignment_abs_error,paper_index_scenario,predictability_index_mean,,6,0.07750660303554424,0.06555555555555559,0.016294014384421854,0.07750660303554424
0,mean_alignment_abs_error,paper_index_scenario,prosociality_index_mean,,6,0.02932661049685232,0.022888888888888848,0.006154194539401522,0.02932661049685232
0,mean_alignment_abs_error,paper_index_session,delegation_index_mean,,4,0.04642857142857139,0.012857142857142873,0.03405427840302919,0.04642857142857139
0,mean_alignment_abs_error,scenario,C_decision_nonnull_rate,,6,0.018749999999999996,0.0,0.011898004034290791,0.018749999999999996
0,mean_alignment_abs_error,scenario,PD_decision_nonnull_rate,,6,0.013749999999999998,0.0,0.00723849662107632,0.013749999999999998
0,mean_alignment_abs_error,scenario,SH_decision_nonnull_rate,,6,0.023749999999999993,0.0,0.014401244159215312,0.023749999999999993
0,mean_alignment_abs_error,scenario,TGReceiver_decision_direct_mean,,6,0.34894000432017336,0.3625309835948134,0.053566298615479326,0.34894000432017336
0,mean_alignment_abs_error,scenario,TGReceiver_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.01547847968417226,0.027500000000000004
0,mean_alignment_abs_error,scenario,TGSender_decision_nonnull_rate,,6,0.027500000000000004,0.0,0.0175,0.027500000000000004
0,mean_alignment_abs_error,scenario,UGProposer_decision_direct_mean,,6,0.21058181152298597,0.1430574324324323,0.041033941618423234,0.21058181152298597
0,mean_alignment_abs_error,scenario,UGProposer_decision_nonnull_rate,,6,0.010000000000000002,0.0,0.006324555320336755,0.010000000000000002
0,mean_alignment_abs_error,scenario,UGResponder_decision_direct_mean,,6,0.24155364361153323,0.19176470588235284,0.04636566880089772,0.24155364361153323
0,mean_alignment_abs_error,scenario,UGResponder_decision_nonnull_rate,,6,0.020000000000000007,0.0,0.013038404810405293,0.020000000000000007
0,mean_alignment_abs_error,session,C_delegated,,4,0.07500000000000001,0.04999999999999999,0.037749172176353755,0.07500000000000001
0,mean_alignment_abs_error,session,PD_delegated,,4,0.05499999999999999,0.05000000000000002,0.01707825127659933,0.05499999999999999
0,mean_alignment_abs_error,session,SH_delegated,,4,0.095,0.06999999999999999,0.043493294502332955,0.095
0,mean_alignment_abs_error,session,TGReceiver_delegated,,4,0.10999999999999999,0.09999999999999998,0.04203173404306163,0.10999999999999999
0,mean_alignment_abs_error,session,TGSender_delegated,,4,0.10999999999999997,0.08999999999999994,0.055677643628300216,0.10999999999999997
0,mean_alignment_abs_error,session,UGProposer_delegated,,4,0.03999999999999999,0.020000000000000004,0.019999999999999997,0.03999999999999999
0,mean_alignment_abs_error,session,UGResponder_delegated,,4,0.08000000000000002,0.05000000000000002,0.04242640687119287,0.08000000000000002
