question_id,question_human,variable_code_human,variable_label_human,cond1_label_human,cond2_label_human,left_role_human,right_role_human,left_treatments_human,right_treatments_human,direction_human,cond1_mean_human,cond1_sd_human,cond1_n_human,cond2_mean_human,cond2_sd_human,cond2_n_human,effect_human,supports_direction_human,question_model,variable_code_model,variable_label_model,cond1_label_model,cond2_label_model,left_role_model,right_role_model,left_treatments_model,right_treatments_model,direction_model,cond1_mean_model,cond1_sd_model,cond1_n_model,cond2_mean_model,cond2_sd_model,cond2_n_model,effect_model,supports_direction_model,effect_abs_error,cond1_mean_abs_error,cond2_mean_abs_error,direction_match
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6442857142857144,0.16944170383680854,50,0.7092380952380951,0.14406811008469378,50,-0.06495238095238076,True,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.618095238095238,0.2333434930202683,45,0.7463492063492064,0.19566893650987152,45,-0.1282539682539684,True,0.06330158730158764,0.02619047619047632,0.03711111111111132,True
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.43285714285714294,0.3226200460041101,100,0.37285714285714294,0.2934697776777444,100,0.06,True,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.23857142857142852,0.22615515787147056,100,0.21571428571428566,0.2389551570892899,100,0.022857142857142854,True,0.037142857142857144,0.19428571428571442,0.15714285714285728,True
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6865714285714286,0.1699664730804308,50,0.7092380952380951,0.14406811008469378,50,-0.022666666666666502,True,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.7204761904761905,0.20019253539693915,50,0.7463492063492064,0.19566893650987152,45,-0.025873015873015937,True,0.0032063492063494348,0.03390476190476188,0.03711111111111132,True
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.5107777777777777,0.1792716781677923,50,0.5436666666666666,0.1910507537974687,50,-0.03288888888888897,True,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.6629999999999999,0.25081527433402895,50,0.6166666666666667,0.23639466040029075,45,0.046333333333333226,False,0.0792222222222222,0.15222222222222226,0.07300000000000006,False
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6461904761904762,0.1931906916573661,50,0.6442857142857144,0.16944170383680854,50,0.0019047619047618536,True,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6684903748733535,0.20454404412708507,47,0.618095238095238,0.2333434930202683,45,0.05039513677811547,True,0.048490374873353614,0.022299898682877295,0.02619047619047632,True
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3671428571428571,0.30743886538176557,100,0.4385714285714286,0.3081086530329832,100,-0.07142857142857151,False,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.2571428571428571,0.23328473740792172,100,0.19714285714285712,0.2286255347216884,100,0.06,True,0.1314285714285715,0.10999999999999999,0.2414285714285715,False
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.707904761904762,0.17383477591232574,50,0.6865714285714286,0.1699664730804308,50,0.021333333333333426,True,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.7583809523809525,0.17335012573641728,50,0.7204761904761905,0.20019253539693915,50,0.037904761904762,True,0.01657142857142857,0.05047619047619045,0.03390476190476188,True
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.5411111111111111,0.23683263106530353,50,0.5107777777777777,0.1792716781677923,50,0.030333333333333434,True,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.7062222222222222,0.21010213595626231,50,0.6629999999999999,0.25081527433402895,50,0.04322222222222227,True,0.012888888888888839,0.1651111111111111,0.15222222222222226,True
